stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.22,167.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.15,487.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.37,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.5,6.31,0,5.95,0,0,11.56,0,0,0,0,8.84,0,0,0,0,0,0,0,0,0,233.28,0,0,0,75.78,0,0,10.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.71,0,24.33,0,0,11.66,0,0,0,0,26.28,0,0,0,0,0,0,0,0,0,143.24,0,0,0,43.67,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.01,11.9,3.18,1.7,0,0,0,0,4.21,0,0,0,0.93,0,7.21,0,0,5.05,67.03,12.07,0,0,0,0,4.65,0,2.26,0,14.79,14.26,127.19,0,0,2.55,0,0
 24-34,0,0,0,0.71,2.53,0.96,4.06,0.91,0,1.33,2.16,0,2.73,0,0,0,2.97,14.58,0,0,10.91,535.01,0,5.23,0.88,0,0,5.55,0,0,0.93,4.53,8.44,399.43,0,0,4.37,0,0
 36-46,0,0,0,0,0.87,0,55.38,0,0,0.84,10.03,0,0.92,0,0,0,2.7,16.38,0,1.72,4.06,1178.82,0,9.88,1.15,0,0,3.35,0.73,0,0,0,0,508.83,0,0,4.28,0,11.29
 48-58,0,0,0,0,8.33,0,396.35,1.83,1.04,1.14,11.21,0,0.82,0,0,0,2.65,29.84,0,5.81,6.78,1799.58,2.22,4.21,0.6,0,0,4.39,0,0,0,0,0,372.32,0,0,2.79,0,11.53
 60-70,0,0,0,0,6.63,0,2098.82,0,8.99,0,60.19,0,0.7,0,0,0,0,31.06,0,2.57,2.18,2201.77,3.78,3.12,0.82,0,0,13.2,0.85,0,1.35,0,0,326.37,0,0.9,1.4,1.79,13.27
 72-82,0,0,0.98,0,8.57,7.44,2107.85,2.27,0.68,2.51,83.3,0.6,0,3.51,0,0,0,24.04,0,1.09,3.75,1744.91,3.31,2.96,0.49,0,0.71,4.83,0,0,0.64,0,0,176.11,0,1.25,1.33,2.84,0
 84-94,0,0,0,0,9.65,5.61,1062.47,0,0,2.41,103.41,0,0.78,1,0,4.45,0,20.98,3.56,9.38,1.69,1250.73,0,2.19,0.92,0,0,1.66,0,0,1.07,0,0,133.78,0,5.59,0,1.52,13.39
 96-106,0,0,0,0,3.17,4.87,1061.95,1.34,0.57,0,87.96,0,0.58,2.47,0,8.71,7.73,21.88,2.99,3.47,4.3,855.12,0,3.22,1.8,0,0,0.79,0,0,0,0,0,56.26,0,7.64,0,3.73,0
108-118,0,0,0,0,8.39,8.52,1056.72,0,0,1.27,77.71,0,0.51,4,0,1.29,0,20.53,0,2.47,0,982.44,1.24,4.34,0,0,0,0,0,0,2.42,0,0,52.88,0,1.4,0,10.94,1.7
120,0,0,0,0,31.78,0,723.58,0,0,0,174.79,0,2.63,0,1.88,0,0,27.13,0,0,2.55,1950.25,0,8.26,20.61,0,13.12,0,0,0,0,0,0,133.46,1.81,0,0,11.82,4.45
