stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,95.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,241.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28,0,0,0,0,0,0,0,0,0,0
  7-9,21.78,6.79,0,0,0,10.99,0,0,0,0,0,0,0,0,0,220.99,3.56,0,0,65.58,0,0,0,0,0,0
 10-12,0,15.27,0,0,0,32.95,0,4.82,0,0,0,0,0,0,0,153.46,0,0,0,74.82,0,0,0,0,0,0
 14-21,0,2.25,0,0,0,0,0,0,0,0,0,0,0.85,0,0.82,9.34,0,0,0,0,0,0,3.12,0,0,0
 24-34,0,0,0,3.29,0,3.3,1.26,0,0,0,0,0,1.29,0,1.24,27.02,0,0,1.58,0,5.08,1.45,8.42,0,0,0.79
 36-46,0,0,0,0,0,6.15,0.83,0,0,0,0,0.57,0,0,0,30.79,0,1.52,0,0,1.07,0,2.24,0,0,0
 48-58,0,0,0,0,0,11.14,1.44,0,0,2.75,0,0,2.69,0.55,0,7.75,1.06,0,0,0,0,0,0.84,0,0,8.9
 60-70,0,0,0.6,0,0,2.12,0,0,0,0,0,0,2.66,0,0.88,0.66,0,0,0,0,0,0,0,0,0,0.79
 72-82,0,0,0,0,0,2.63,2.32,0,0,0,0,0,1.2,0,0,6.38,0,0,0,0,0,0,0,1.36,0,0
 84-94,0,0,0,0,0,0,2.28,0,0,0,0,0,1.2,0,0,5.15,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.84,3.95,0,0.68,0,0,0,1.8,0,0,16.75,0,0,0,0,0,0,0,0,0,15.45
108-118,0,0,0,0,0.46,0,0,0,0,0,0.43,0,4.77,0,0,2.62,0,0,0,0,0,0,0,0,0,5.33
120,0,0,0,0,0,5.7,4.42,0,0,0,0,0,2.59,0,0,27.82,0,0,0,0,0,0,0,0,1.4,3.58
