stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,127.3,1799.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0,0
  5-6,142.68,3197.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.8,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.54,40.2,0,0,0,0,104.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2202.36,9.56,0,0,353.26,0,3.79,0,0,0,0,0,0,0,0,0,0
 10-12,0,71.27,0,19.68,0,0,52.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1336.54,8.7,0,0,310.89,0,21.69,15.33,159.37,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,129.1,5.58,13.49,0,1.76,0,2.2,1.08,0,0,0,0,0,0,0,13.23,0,0,22.49,60.79,0,0.85,0,3.49,0,1.27,12.74,0,0,7.39,24.61,0,0,0,0,0
 24-34,0,0,1.41,0,29.06,0,20.36,0,12.73,0,1.24,0,0,0,0.6,0,0.75,0,2.06,15.82,6.69,0.81,20.41,227.91,0,13.2,0,0,0,0,0,2.68,1.74,0,64.39,0,0,0,0,0
 36-46,0,0,0,0,8.32,0,108.77,0,4.11,0,16.41,0,0,0,0,0,0,0,0,15.5,0,0,1.84,655.35,0,15.05,0,0,1.41,0,0,0,0,0,87.38,0,0,0,0,0
 48-58,0,0,0,0,10.08,0,405.67,0,2.62,0.45,27.98,0,0.63,1.71,0,0,0,0,1.3,30.63,0,0,9.29,954.77,0,10.23,0,0,3.73,0,0,0,0,0,107.55,0,0,2.83,0,6.23
 60-70,0,0,0,0,22.64,0,1131.35,0,5.31,0,47.32,0,0,0,0.86,1.16,0,0,2.22,36.46,0,1.84,0.95,1478.27,0,6.78,0,0,0.8,0.85,0,0,0,0,119.67,2.51,0,0,0,5.37
 72-82,0,0,0.5,0,21.23,3.64,1553.16,0,0,6.88,63.83,2,0,0.49,1.67,0,0,2.94,0,35.37,3.26,0.56,1.86,1444.48,0,11.38,4.37,0,2.03,0,0,0,0.53,0,100.34,11.94,0,4.67,0,5.25
 84-94,0,0,2.94,0,41.46,0,1015.93,0,9.55,1.23,43.36,0,1.02,0.7,0,8.14,3.06,0,0,35.06,0,1.38,2.74,1054.98,0,1.88,0,0,1.81,0,0,0,0,0,87.7,0,0,0.61,0.64,0
 96-106,0,0,0,0,28.25,8.92,947.4,0,2.75,16.17,35.21,4.7,0.58,2.7,0,1.5,0,0,0,41.9,0,1.32,2.2,935.19,0,10.51,2.53,0,5.98,0,0,0,0,0,39.01,0.58,0,0,0.96,9.61
108-118,0,0,2.37,0.74,38.26,1.83,817.24,0.64,6.94,0,30.47,1.01,0,5.43,2.59,1.16,0,10.23,0,23.52,0,0,1.53,1023.57,0,8.74,1.22,0,0,0,0,0,0,0,12.32,1.42,2.08,2.23,0,3.41
120,0,0,0,0,12.54,20.25,652.94,0,2.74,0,28.73,3.14,0,10.29,1.05,0,0,0,0,92.53,0,0,0,1619.78,5.09,2,0,0,2.42,0,0,0,0,0,60.47,0,0,0,0,0
