stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,23.31,0,5.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.33,33.06,0,6.81,0,0,0,0,0,0,3.51,0,0,0,0
 14-21,0,0,0,34.83,82.65,0,2.14,0,0,0,21.63,0,3.41,0,0,0,0,72.43,0,26.8,379,33.98,0,1.03,0,0,7.1,0,1.91,7.67,638.03,0,7.33,0,0
 24-34,0,0,0,10.72,4.09,0,1.25,0,0,1.32,15.94,0.64,0,1.71,0,0,0,61.05,0,22.11,808.18,3.15,0,0,0,0.82,1.73,0,0,8.94,583.31,0,19.9,0,0
 36-46,0,0,0.84,1.27,17.36,0,40.66,0,0,7.24,27.95,0,0,1.71,0,0,0.85,84.43,0,21.34,1934.2,4.71,0,0,0,0,0,0,0,0,583.94,0,10.04,0,0
 48-58,0,0,0,7.32,0,0,104.62,0,0,9.52,51.84,0,0,0,0,0,6.3,78.84,1.05,7.97,1947.84,0.8,0,0,0,0,0,3.36,0,0,338.71,0,7.98,0,1.89
 60-70,0,0,0,2.2,0,0,107.5,0,0,5.95,51.01,0,0,0,0,0,0,55.27,0,4.65,2405.59,2.44,0,0,1.93,0,0,0,0,0,150.38,0,1.5,0,0
 72-82,0,0,0,1.85,2.39,0,90.2,0,1.27,5.83,52.89,0,0,0,0.53,2.8,0,30.04,0,1.9,1250.83,0,0,0,1.8,2.11,0,0,0,0,32.01,0,2.81,3.13,0
 84-94,0,0,0,6.5,1.93,0,60.03,0,0,2.43,15.14,0,0,0,0,7.61,0,35.91,0,3.4,745.52,0,2.77,0,0,0,0,0,0,0,29.7,0,0,0,0
 96-106,0,0,0,6.66,7.35,0.77,50.79,0,0,5.86,16.51,0,0,0,0,0,0,24.14,0,1.08,618.29,0.59,0,0,0.79,0.92,0,0,0,0,17.25,1.22,6.28,0.61,0
108-118,0,0,0,5.88,0,0,27.54,0.56,0,4.34,21.36,0,0,0,0,2.02,0.7,25.42,0,0,803.86,1.07,0,0,0,4.11,0,0.9,0,0,12.67,0,0,0.55,0.91
120,0,1.73,0,1.65,0,0,62.73,0,0,1.67,27.46,0,0,0,0,0,0,7.66,0,0,758.06,0,0,0,0,0,0,0,0,0,10.31,0,4.04,0,0
