stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,28.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,37.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.3,0,3.54,0,0,0,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.15,0,0,0,17.7,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,61.92,0,0,0,29.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510.68,29.29,0,0,58.54,0,3.1,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,11.91,304.5,4.51,0,34.21,0,7.56,0,9.16,8.17,1.52,0,0,0,0,1.99,0,66.52,0,0,63.91,255.3,64.53,2.01,0.88,8.08,0,31.59,6.45,5.18,51.84,28.54,88.62,0,0,5.55,0,0
 24-34,0,0,0,8.54,253.11,1.61,0,87.17,0,39.09,0.72,31.58,5.31,21.38,5.27,0,0,1.95,1.43,0,263.81,1.5,2.51,141.29,783.26,71.54,6.14,15.92,0,4.57,92.13,0.93,2.36,103.27,9.25,219.55,0,0,78.36,0,0
 36-46,0,0,0,2.22,157.81,0,0,230,9.5,71.81,14.62,92.29,3.94,31.16,0.89,0.83,1.98,1.53,3.08,8.23,626.06,0,20.01,162.19,1638.03,109.83,11.99,22.91,0,2.91,93.14,0,1.2,79.75,0,397.48,0,1.25,84.49,0,2.61
 48-58,0,0,0,0.75,109.12,6.55,0,288.42,5.42,57.94,21.89,122.54,4.39,24.91,13.68,0,7.85,1.62,4.44,10,783.84,2.57,48.18,137.26,1599.43,158.81,3.9,35.85,0,7.28,35.49,0,2.84,18.87,0,310.41,0,3.73,104.09,0.9,27.25
 60-70,0,0,1.27,0,129.98,3.32,0,706.04,14.04,81.27,51.78,144.46,12.37,14.41,3.77,0,12.42,1.5,0,8.92,1464.38,2.18,97.43,124.43,2069.05,85.52,7.46,50.56,0,10.98,37.69,0,1.83,27.01,0,332.15,0,28.42,86.95,14.74,21.67
 72-82,0,0,1.66,1.07,106.86,7.3,0,543.65,12.53,52.42,61.32,127.43,32.34,22.92,1.81,2.9,23.11,0.6,2.15,4.11,2138.14,1.63,119.13,131.48,1755.58,81.86,10.28,81.12,1.13,22.54,15.02,0,2.46,9.2,0,161.26,2.55,56.02,155.28,63.31,63.35
 84-94,0.62,0,0,2.21,281.23,10.03,0,537.94,12.16,86.44,45.28,86.96,46.33,13.22,10.88,2.36,32.91,0,12.98,29.9,1931.75,2.02,115.89,97.66,1124.81,119.97,4.26,83.37,0,21.56,57.35,0,7.83,3.15,0,101.3,1.86,66.74,159.24,62.38,14.3
 96-106,0,0,1.43,2.19,446.33,5.71,0,376.73,24.49,112.34,34.69,139.33,48.58,12.42,6.95,6.02,55.96,4.93,12.64,4.36,2019.97,2.17,131.43,108.69,1053.08,85.46,3.36,109.56,0,29.9,17.53,0,5.24,2.1,0,64.97,2.81,95.88,231.73,83.72,7.52
108-118,0.67,0,0,6.48,582.4,8.89,0.5,357.87,15.18,153,73.05,120.97,63.28,17.92,14.46,1.95,67.33,1.86,15.71,17.23,2104.98,2.02,137.25,106.65,986.24,97.56,9.31,123.98,0,35.79,11.06,0,13.4,3.63,0,69.22,3.54,69.31,158.98,58.36,32.49
120,0,0,0,1.66,417.43,11.6,0,432.69,39.54,113.01,70,132.56,25.41,41.62,13.49,1.17,46.86,1.62,36.17,0,2086.17,6.8,116.88,99.38,1934.14,182.92,0,114.04,0,54.77,12.71,1.12,3.9,10.88,0,53.16,0,76.26,167.42,93.81,0
