stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,21.07,583.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0
  5-6,37.91,704.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03,0,0,8.94,0,0,0,0,0,0,0,0,0
  7-9,3.68,5.96,0,9.16,0,0,0,18.05,0,0,0,0,0,0,0,0,0,0,0,0,75.2,10.21,0,0,21.96,0,0,0,0,0,0,0,0,0
 10-12,0,9.59,0,0,0,0,0,66.92,0,0,0,0,9.77,0,0,0,0,0,0,0,298.39,0,0,0,7.91,0,8.7,17.28,0,0,0,0,0,0
 14-21,0,0,3.42,6.22,17.19,0,0,6.2,0,0,2.31,0,6.35,0,0.96,0,0,0,0,0,121.6,1.08,2.44,4.61,0,7.3,0,0,0,65.11,0,0,0,0
 24-34,0,0,1.32,2.67,10.45,0,0,5.27,2.47,0,1.89,0,0,0,4.24,0,0,0,2.05,1.47,293.55,0,6.67,14.44,0,37.78,0,0,0,82.85,0,0,0,0
 36-46,0,0,0,0.58,5.25,0,0,6.47,0,0,16.93,0,0,0,0,0.61,0.74,2.27,3.89,0,564.62,0,13.87,2.49,0,53.79,0,0,0,138.01,0,0,0,0
 48-58,0,0,0,0,3.54,0,0,49.46,0,0.42,23.1,0.39,0.93,0,0,2.2,2.84,0.9,3.45,1.4,801.25,0,2.23,7.58,0,24.06,0,0,0,115.46,0,0,0,0
 60-70,0,0,0.86,0,1,0,0,97.27,1.4,0.63,30.36,0.61,3.54,0,0.58,1.89,0,9.81,2.1,1.15,1239.21,0,6.91,15.72,0,44.35,0,0,0,151.19,0,0,0,7.94
 72-82,0,0,0.88,0,9.83,2.39,0,145.34,0,3.99,68.53,4.18,0.6,0,0.74,7.49,2.29,10.74,4.21,1.88,1189.99,0,3.25,10.42,0,13.82,0,0,0,75.39,0.74,0,0,5.78
 84-94,0,0,0.94,0,15.59,0,1.48,120.72,1.05,0.67,28.19,4.78,1.63,1.03,1.87,8.45,1.48,11.99,8.29,0,816.02,2.58,11.63,13.85,0,38.62,0,0,0,59.84,6.34,0.71,0.57,0
 96-106,0,0,0,0,13.17,0,0,83.23,0,0,46.65,13.39,0,0,1.06,10.57,0,8.87,8.97,0,659.61,0,7.25,12.89,0,12.99,0,0.73,0,19.05,7.91,0,0,0
108-118,0,0,0.47,1.09,8.41,2.41,3.71,83.1,0,0.73,32.31,13.25,0,0,3,9.2,1.04,16.52,2.57,0.92,697.67,0.94,3.56,20.33,0,13.55,0,1.67,0.69,17.4,6.06,0,0,0
120,0,0,0,0,6.55,0,0,65,0,0,56.87,8.24,0,0,7.53,5.57,0,18.82,3.25,3.31,732.73,0,4.59,10.06,0,18.09,0,0,0,0,0,0,0,0
