stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,237.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,134.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0,0,0,17.83,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.85,0,0,17.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.68,8.66,0,0,76.33,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,146.54,0,0,0,17.35,0,0,0,0,0,6.04,0,0,0,0,0,0,0,0,0,0,0,3098.07,17.45,0,0,244.11,0,0,9.31,5.61,0,13.06,8.95,0,0,0,0,0
 14-21,0,0,0,37.23,0,34.96,0,0,0,52.21,0,0,0,0,1.18,0,0,0,0,0,0,0,0,1649.32,0,100.45,4.55,0,0,2.92,6.16,0,18.16,12.65,1031.1,0,0,0,0,0
 24-34,0,0,0.62,33.15,0,234.63,0,0,0,98.5,0,0,0,0,1.02,3.74,5.58,0,0,2.42,0,0,17.7,7607.35,0,111.07,17.27,0,0,14.93,0,0,0.95,11,2240.55,0,0,0,0,0
 36-46,0,0,0,12.69,0,1063.25,6.58,0,0,236.48,0,0,0.93,3.72,0,0,3.89,13.14,13.49,21.83,0,0,1.26,11004.75,0,30.56,9.53,0,0,14.47,0,0.74,0,0,3336.16,0,5.7,0.64,0,5.28
 48-58,0.39,0,0,32.75,0,1045.21,0,4.31,0,513.03,0,0,0,0.45,0,0,2.68,0,0,24.1,0,7.85,1.1,5585.7,0.6,22.8,7.71,0,0,8.19,0,0,1.28,0,2606.29,0,0,3.94,0,4.32
 60-70,0,0,0,4.2,0.67,511.84,0,0.99,1.54,426.58,4.97,0,0,0,0,0,0.77,0,0,15.21,0,0,0,1812.81,0,0,4.02,0,0,1.12,0,0,0,0,961.38,0.81,0,0,0,3.65
 72-82,0,0,0,7.04,0,178.81,0,1.17,0,226.57,0,0,0.58,1.18,0,0,0.5,0,0,3.11,0,0,0.73,769.33,0,5.79,7.18,0,0,0.8,0,0,0,0,168.54,0.51,0,0,0.77,7
 84-94,0,0,0,8.41,1.21,198.03,0,0.63,0.75,178.71,1.3,0,0,0,0,2.18,0.59,0,0,8.99,0,0,3.58,609.73,0,1.33,5.93,0,0,0,0,0,0,0,223.11,8.84,0,0,0,0
 96-106,0,0,0,4.39,0,108.81,0,0,0,132.73,0,0,0,0,0,0,0,0,0,0,0,0,1.08,340.53,0,9.57,1.46,0,0,1.36,0,0,0,0,40.16,1.57,2.7,0,0,0
108-118,0,0,0,0.76,0,136.14,0,0,1.4,141.14,0.66,0,0,0.43,0,0.7,1.73,0,0,8.3,0,0,1.95,539.1,0,13.48,0.81,0,2.78,0,0,0,0,0,17.26,8.43,0,0.71,0,0
120,0,0,0,9.87,0,158.73,0,0,0,170.98,0,0,0,0,0,0,0,0,0,0,1.65,0,0,410.66,0,18.64,1.51,0,0,0,0,0,0,0,15.33,13.62,0,0,0,0
