stage,axial,blastomeres,eye,gut,immune,neural
  3-4,0,55.45,0,0,0,0
  5-6,8.85,84.72,0,0,0,0
  7-9,0,0,0,0,0,12.27
 72-82,0,0,6.27,0.53,2.03,0
 96-106,0,0,0,1.74,2.03,0
120,0,0,0,2.82,0,0
