stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,liver,mesenchyme,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47,0,0,0,5.09,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.32,0,0,0,0,0,0,0,0,0
 14-21,0.85,0,0,0,0,0,0,0,0,1.26,0,0,1.59,0.98,0,0,0,0,0,5.61,0.94,2.29,0,0
 24-34,1.3,0,0,0,0,0,0,2.58,1.01,0,0,0,7,0,14.99,0,0,0,0,7.6,0,0.74,0,0
 36-46,0,0,0,0,0,0,0,1.04,0,0,0,2.07,0,0,15.86,0,0,0,1.94,3.16,0,0,0,0
 48-58,0,0.37,0,0,0.67,0,0,11.09,0.86,0,0,0.8,0.66,1.48,12,0,0,0,0,0.61,0,0.52,0,0
 60-70,0,0,0,0,7,0,0,7.21,1.84,0,0,16.22,1.34,1.17,7.29,0,0,0,0,3.48,0,0,0,0
 72-82,0.56,0,0,0,0,0,0,5.79,2.8,0,0,17.5,0,4.36,20.23,0,0,0,0,9.91,0,5.14,0,1.08
 84-94,0,1.88,1.19,0,2.12,0,0,3.99,5.38,0,0,19.56,11.85,1.47,8.89,0,0,0,0.55,3.94,0,1.44,0,0
 96-106,0,0,1.7,0,6.85,0.87,0,8.19,18.58,0,4.84,10.7,7.79,3.61,8.71,1.28,0,0,1.7,9.43,0,0.67,0,0
108-118,0.49,0.43,0,2.65,5.9,0,1.57,5.84,19.43,0,4.84,42.84,8.67,7.73,11.4,1.37,3.65,2.18,1.78,10.02,0,0,0.42,0
120,0,0,0,0,0,0,0,0,18.38,0,0,0,3.21,0,8.08,0,0,0,4.17,8.96,0,0,0,0
