stage,epidermis,eye,neural,otic,spinal_cord
 24-34,0,0,2.95,0,0
 36-46,0,0,0.66,0,0.75
 48-58,0,0,1.36,0,1.9
 60-70,0,1.77,1.36,0,0
 72-82,0,0,2.02,1.27,0
 84-94,2.3,0,0,0,0
