stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,3.14,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.88,0,0,0,0,0,3.81,0,0,0,0.9,1.54,2.15,0
 24-34,0,2.07,0,0,0,0,0,0,0,2.93,12.16,0.65,0,0.8,0,0,2.47,0.64
 36-46,0,3.85,0,0,1.26,0,0,0,0,0,15.55,0,0,0,0,0,0,6.01
 48-58,0,5.94,0,0,0,0,0,0.9,0,0,11.01,0,0,0,0,0,0.52,0
 60-70,0,4.63,0,0,7.48,0,0,2.3,0,0,25.62,0,0,0,0,0,2.66,0
 72-82,0.52,12.52,0,0,2.38,0,0.54,3.38,0,0,10.11,0,0,0,0,0,8.01,0
 84-94,0.57,11.2,0,0,0,0,0,2.44,0,0,7.18,0,0,0,0,0,0,0
 96-106,0,1.54,0.57,0,0,0.97,0,3.73,0.75,0,6.71,0,2,0,0,0,0,0
108-118,0,7.97,0,0,0,0,0,3.7,0,0,12.53,0,0,0,0,0,5.27,0
120,1.19,0,0,1.29,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0
