stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,23.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,9.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.97,0,0,0,4.41,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.36,0,0,0,39.57,0,0,0,0,0,0,0,0,0
 14-21,0,3.8,189.15,6.75,5.22,0,0,0,0,0.85,0.85,0,0,0,0,38.17,0,0,44.11,84.28,2.28,0,4.38,13.39,7.41,142.67,22.95,10.32,154.24,178.73,0,4.9,0
 24-34,0,0.59,197.66,5.97,4.22,0,15.99,11.04,10.8,0,4.37,0,0.66,0,1.23,135.06,1.87,0,66.76,92.13,4.12,3.15,4.48,0,5.02,2.17,14.17,5.18,148.61,111.07,0,51.34,0
 36-46,0,0.56,23.98,0,11.05,0.65,0.56,32.47,0.73,0.56,0,0,0,1.74,0,92.41,0,0.55,26.21,45.26,0,0,0.82,0,5.53,0,27.24,0.58,0,39.97,0,39.16,0
 48-58,0,0,2.77,0,7.1,0,2.32,17.43,4.16,0,0,0,0.38,0,0,45.07,0,0.59,30.1,33.26,0,0,0,0,6.02,0,3.84,1.13,0,7.81,0,10.89,0
 60-70,0,0,2.06,0,14.9,1.01,13.74,10.37,0.98,0,0,0,0,0,0,19.04,0,0,6.71,60.54,0,0,0,0,0,0,1.18,0,0,7.92,0,0.8,0
 72-82,0,0,0.65,0,6.32,0,5.69,10.26,0,0,0,1.18,0,0,0,21.73,0,0,13.56,16.15,0,0,0,0,0,0,2.57,0,0,0,0.5,4.82,0
 84-94,0,0,0.65,0,0.78,0,0,2.04,2.35,0,8.04,0,0,0,0,20.36,0,0,1.97,27.44,0,0,0,0,0,0,0.64,0,0,0,0,9.09,0
 96-106,0,0,0,0,1.49,0,0,1.31,1.09,0,0,0,0,0,0,7.56,0,0,1.1,15.6,0,0,0,0,0,0,1.21,0,0,0,0,0,0
108-118,0,0,1.33,0,0,0,0,1.92,0,0,0,0,0,0,0,23.48,0,0,2.39,13.45,0,0,0,0,2.4,0,2.93,0,0,0,0,0,0
120,0,0,0,0,6.23,0,0,2.49,0,0,0,0,0,0,0,12.75,0,0,1.35,41.71,0,0,0,0,1.36,0,1.49,0,0,0,0,0,8.87
