stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6.12,0,0,0,0,0,0,3.68,0.99,0,0,0,0,0,0,0,3.8,0,0,5.23,0,0,0,0.92,0,0,0,0
 24-34,0,0,18.44,1.69,0,0,0,0,0,20.37,18.39,0,0.63,0,2.08,0,0,0,0,3.83,0,0,0,0,0,28.46,0,2.58,0,0
 36-46,0,0,1.9,0,0,0,0.74,0,2.07,31.39,17.84,0,0,0,2.13,0,0,0,0,7.22,0,0,0,0,0,25.18,0,0,0,0
 48-58,0,0,0,0,0,0,4.02,0,0.62,22.85,21.78,0,0,0,4.43,0,1.13,0,0,5.42,0,0,0,0,0,20.67,0,0,0,0
 60-70,0,1.14,0,0,0,0,5.58,0,0,7.01,18.06,0,0,0,14.14,0,0,0,0,14.31,0,0,0,0,0,9.4,0,0,0,0
 72-82,0,0,0,0,2.83,0,10.36,1.55,0,31.86,25.31,0,0.6,0,150.04,0,11.68,0,1.73,21.93,0,0,0,0.49,0,14.95,0,2.27,0,3.44
 84-94,0,2.32,0.6,0,1.79,0,0,0,0,45.96,54.6,0,0,0,459.63,0,10.21,0,0,12.62,0,0,4.36,8.91,0,43.28,0,0,0,0.77
 96-106,0,7.41,0,8.22,14.57,0,39.74,0,0,26.08,55.1,0,0,0,981.57,0.86,11.67,0,0,99.7,0,0,2.5,8.58,0,21.63,0,1.56,1.85,2.71
108-118,0,2.29,0,4.45,6.04,1.02,30.76,0,0.56,32.88,41.22,1.31,0,1.41,1619.08,0,11.26,0.59,1.58,108.56,0,0,0,9.15,0.44,23.9,2.43,0,0,0
120,0,0,0,5.12,0,0,35.67,0,0,0,24.42,12.14,1.72,0,1147.05,0,8.03,0,11.82,99.82,4.99,0,0,1.88,0,8.39,0,0,0,0
