stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,spinal.cord,vasculature
  3-4,29.41,107.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0
  5-6,20.57,266.52,0,0,0,0,0,0,0,0,0,0,0,11.17,0,6.69,7.13,0,0,0
  7-9,0,6.05,0,0,15.21,0,0,0,0,0,0,0,106.54,7.16,0,39.88,0,0,0,0
 10-12,0,7.49,0,0,0,0,0,0,0,0,0,0,28.79,0,0,15.9,0,0,0,0
 14-21,0,0,0.93,0,0,0,0,0,0,0,1.28,0,3.87,0,0,0.99,0,0,0.86,0
 24-34,0,0,0,0,1.96,0,0,0,0,0,3.36,0,2.03,0,0,0,0,0,0,0
 36-46,0,0,0,0,23.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,199.47,0,0,0.63,0,0,0,0,11.28,0,0,0,0,0,0,0
 60-70,0,0,0,0,588.05,0,0,2.58,0,0,0,0,17.7,0,0,0,0,0,0,0
 72-82,0,0,1.44,5.83,593.26,0,2.14,0,0,3.06,0,0,2.61,0,3.03,0,1.89,0,0,0
 84-94,0,0,1.35,0,512.82,0.82,0,0,0,0,4.19,0,1.2,0,0,0,7.3,0,0,0
 96-106,0,0,0,0,337.18,0,5.35,0,0,0,0,1.12,0,0,0,0,0,0,0,0.96
108-118,0,0,0.44,0,259.26,0,0,0,0.42,0,0,0,9.52,0,0,0,0,0,0,0
120,0,0,2.4,0,392.33,0,0,0,0,0,0,0,7.11,0,0,0,0,1.53,0,0
