stage,eye,glial,mesenchyme,mural.cell,muscle,neural,notochord,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
 24-34,0,0,0,0,0,2.26,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.68,0,0,0,0.66,0,0,0
 48-58,0,0,1.13,0,0,1.12,0,0,0,0,0,0.51,0
 60-70,0,0,7.01,0.77,0,0.92,0.67,0,0,0,0,4.8,2.65
 72-82,3.12,0.87,6.44,4.3,0.54,6.25,0,2.41,0,0,3.95,4.61,8.42
 84-94,0.63,0.64,2.49,0.55,0,5.31,0,0,0,0,0,7.83,10.36
 96-106,1.66,3.04,6.28,0.63,0,10.23,0,3.05,1.07,0,0,2.82,19.74
108-118,0,0,9.51,0,0,12.23,0,2.7,0,4.28,0,0,24.74
120,2.78,0,8.92,0,0,10.27,0,5.07,0,0,1.27,2.71,41.17
