stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,30.31,281.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.83,243.58,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,17.12,0,39.87,0,0,0,123.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.85,9.19,0,0,7.58,12.19,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,45.31,0,0,0,0,0,8.15,0,0,0,0,0,0,0,0,0,0,0,77.41,5.5,0,0,10.11,0,0,18.67,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,17.84,3.47,0,2.42,0,0,0,0,0,0.88,1.46,0,1.25,0,0,0,2.31,3.81,0,0,3.38,24.23,0,0,0.91,0.86,6.35,0.91,0.89,1.62,1.89,14.4,0,0,14.55,0,3.9
 24-34,0,0,0,1.43,11.68,8.18,0,9.07,0,0.7,0,2.18,0.67,1.33,0,2.86,3.41,0,0.93,0.94,7.09,13.66,3.97,0,3.64,77.05,0,2.37,7.26,0,74.74,0,8.53,0,2.1,19.65,0,0,29.52,0,50.86
 36-46,0,0,0.98,0,1.2,13.63,0,29.88,0.82,7.07,0.99,3.12,0.56,0,0,0.67,3.67,0,1.36,0,21.75,15.33,1.35,0,2.59,73.08,0.57,6.61,8.27,0,57.89,0,0,0,0,9.95,0,0,11.13,0,82.25
 48-58,0,0,0.44,0,15.53,5.36,0,14.5,0,1.34,2.72,5.75,0,0.39,0.4,0.39,17.12,0,0.5,0,12.49,22.79,0,0,2.22,50.59,0.85,3.72,4.04,0,50.27,0,0.99,0.45,0,7.92,0,0,17.17,0,93.28
 60-70,0,0,0,0,6.73,12.29,0,31.15,0,1.49,6.91,8.5,0,1.21,0.75,6,2.75,0.65,6.57,0,2.08,47.63,7.72,3.45,5.67,62.14,11.73,1.72,1.22,0,59.66,0,3.52,0,0,8.09,0,0,11.44,0,51.86
 72-82,0,0,0.56,0,14.13,43.53,0,53.64,1.43,8.13,2.98,7.78,0.7,0,0,4.9,4.23,2.16,2.06,1.2,0.49,48.26,6.23,0.81,3.54,34.42,0,12.32,6.02,0,27.72,0,1.21,0,0,5.72,0.53,0,30.17,0.79,34.36
 84-94,0,0,1.18,0,16.25,41.52,0,37.62,1.03,8.83,10.87,9.1,2.74,3.82,2.61,10.08,5.76,4.2,2.22,0.56,10.43,50.09,2.23,0,4.08,14.11,0.64,4.26,13.63,0,131.73,0,2.76,0.57,0,0.67,2.7,0,24.44,0,40.6
 96-106,0,0,0,0,15.79,97.64,0.66,45.87,0,6.31,4.48,40.73,5.97,0,0.78,14.27,13.05,3.62,6.73,4.26,5.86,59.62,11.41,1.82,1.09,37.61,0,9.68,19.15,0,121.05,0,5.9,0,0,0,4.96,2.99,69.18,3.63,35.24
108-118,0,0,2.41,0,36.05,26.84,0.5,80.63,1.69,13.98,4.8,33.21,17.89,0,1.81,12.05,15.25,15.57,6.09,4.69,24.87,75.95,0,2.3,7.5,42.04,2.74,14.44,6.44,0,115.31,0,6.67,0.41,0,0,0.67,1.29,50.17,0.89,71.75
120,4.73,0,0,0,70.21,36.61,0,29.39,3.08,11.67,9.83,33.39,24.17,0,1.85,20.32,6.65,5.96,4.55,3.72,4.87,88.35,4.23,10.25,7.32,81.21,1.55,35.9,24.16,0,139.59,0,7.92,2.35,0,0,5.88,0,75.93,0,21.37
