stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,36.85,609.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.78,0,0,0,0,0,0,0,0
  5-6,18.29,1289.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.68,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.64,42.31,0,22.2,0,0,103.07,0,0,0,0,23.95,0,0,0,0,0,0,0,0,0,1388.7,12.48,0,0,451.02,3.28,5.74,0,0,0,0,0,0,0
 10-12,0,46.29,0,58.39,0,5.31,51.58,0,0,0,0,54.64,0,0,0,0,0,0,0,0,0,1127.33,28.33,0,0,271.58,0,0,0,70.23,0,0,0,0,0
 14-21,0,0,0,4.27,19.08,7.45,18.89,0,0,21.29,0.97,0,0.81,0,4.48,0,0,9.94,0,0,0.93,381.13,8.26,4.8,3.09,19.87,2.95,0,15.89,3.51,7.54,174.59,1.41,0,0
 24-34,0,0,0,0,0.77,2.55,16.52,0,0,11.39,0,0,0,0,0,0.85,0,6.61,0,0,6.35,265.86,0.67,10.92,0,0,2,1.06,0,0,2.97,68.38,0.7,0,7.46
 36-46,0,0,0.85,0,0.55,0,106.89,0,0,2.3,0,0,0,0,0,0,0,6.02,0,0.71,0,255.73,1.63,3.67,0,0,0,0.78,0,1.68,0,41.32,1.61,0,0
 48-58,0,0,0,0,0,0.59,115.35,3.21,0,2.28,0,0,0,0,0,0,0,11.37,0,0,2.59,137.11,3.23,1.33,0,0,0,0,0,0,0,11.92,1.78,0,0
 60-70,0,0,0,0,0,0,76.41,0,0,6.71,0,0,0,0,0,0,0,33.66,0,0,2.14,98.93,4.41,0,1.82,0,2.13,0,0,0,0,19.01,1.04,0,0
 72-82,0,0,0,0,0.54,0,47.31,0,2.62,4.92,0,0,0,0.49,0.55,0,0,12.87,0,0,0,118.21,7.06,0,0,0,0,0,0,0,0,2.39,1.24,1.07,0
 84-94,0,0,0,0,0,0,17.23,0,0,3.39,0,0,0,0.57,0.67,0,0,15.99,3.04,0,0,74.1,2.2,0,0,0,1.9,0,0,0.94,0,14.37,1.01,0,0
 96-106,0,0,0,0,0,0,29.75,1.4,1.65,0,0,0,0,0,0,0,0,5.92,0,0,0,33.1,4.93,1.77,2.13,0,3.39,0,0,0,0,8.94,2.88,0,0
108-118,0,0,0,0,1.18,0,13.3,0,0,7.74,0,0,0,0.78,0,0.92,0.9,6.33,0,0,0,94.45,5.39,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,4.23,0,14.75,0,0,7.75,1.68,0,0,1.5,0,0,0,5.25,0,0,0,104.02,0,0,0,0,4.81,0,0,0,0,9.07,0,4.22,0
