stage,axial,blastomeres,epidermis,eye,fast_muscle,fin_mesenchyme,glial,heart,iridophores,mesenchyme,muscle,neural,olfactory,otic,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,0,32.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,25.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.73,0,0,0,0,0,0,0,0,0,0,7.09,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,23.55,0,0,0,8.3,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,9.61,0,0,4.04,0,0.92,4.31,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.83,0,83.88,3.35,0,0,0,0.64,21.82,0,0
 36-46,0,0,0,4.48,0,7.86,0,0,0,0.58,0,160.62,3.29,0,0,0,0,23.78,0,0
 48-58,0,0,2.31,20.18,0.58,0,1.36,0,0,1.18,0,226.02,1.87,0,0,0,0,48.41,0,0
 60-70,0,0,0,148.22,0,0,0.77,0,0,0.72,0,253.69,2.11,0,0,0,0,56.32,0.81,0
 72-82,0,0,1.04,89.41,0,0,1.77,0,0,3.03,1.37,201.79,0,0.69,0,0,0,12.12,0,0.63
 84-94,0,0,1.83,77.86,0,0,3.63,1.46,0,9.04,0,166.98,0,0,0,0,0,16.01,0,0
 96-106,0,0,0,101.07,0,0,1.93,0,0,3.27,0,116.6,8.25,0,0,0,0,2.37,0,0
108-118,0,0,2.38,53.28,0,0,0.62,0,5.6,2.34,0,144.92,1.75,0,0,0,0,1.73,0,0
120,0,0,0,65.04,0,0,0,0,0,0,1.5,118.49,2.15,0,0,0,0,12.38,0,8.01
