stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,320.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.44,0,0,0,0,0,0,0,0,0
  5-6,39.85,244.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.48,0,0,22.18,0,0,0,0,14.7,0,0,0,0,0,0,0,0,0,0,95.5,0,0,0,36.53,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.39,0,0,0,0,3.86,0,0,0,0,0,0,0,0,0,0,18.14,0,0,0,17.25,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.63,10.94,2,1.92,0,0,0,2.17,5.67,0,0,6.71,0,0,0,0,4.07,0,1.66,13.96,0,1.74,0.88,0.92,0,9.8,4.19,0.84,3.59,9.52,0,0,0.89,0,0
 24-34,0,0,0,0,8.28,0,6.79,4.14,0,0,0,0,0,0,2.17,0,0.63,0,0,4.94,0,3.36,17.59,0,1.74,0,0,0,17.24,0,0.65,0,5.23,0,0,1.57,0,0
 36-46,0,0,0,0,17.08,0,1.75,6.2,1.37,0.74,0,0,0,0,2.79,1.49,1.56,0,0,3.44,0,1.07,22.37,0.72,2.71,0,0,0,28.69,0,0,0,3.62,0,0,1.46,0,0
 48-58,0,0,0,0,7.92,0,3.82,2.91,0.41,0.64,0,0,0,1.09,0,0.83,0,0,0,7.01,0,2.57,60.31,0,2.08,0.9,0,0,17.09,0,0,0,1.48,0,0,0.43,0,0.99
 60-70,0,0,0,0,16.02,0,51.57,0,0,8.74,0,0,0,5.9,2.46,0,0,0,0,8.36,0,2,90.13,6.46,1.99,0.62,0,0,6.45,0,0,0,18.44,0,1.22,0,0,0.91
 72-82,0,0,1.48,0,2.17,0,54.7,0,0,14.78,0.63,0,0,1.45,0,0,1.15,0,0,19.91,0,0,142.22,0,5.01,1.32,0,0,3.76,0,0,0,11.56,1.47,3.48,7.15,0.71,0
 84-94,0,0,0,0,5.56,0,54.55,3.24,0,5.95,2.85,0,0,13.58,3.26,0.86,0,0,0.67,31.32,5.87,0,80.46,0,0,3.96,0,0,25.69,0,0,0,1.74,1.86,2.1,6.61,0,0
 96-106,0,0,0,0,7.75,0,8.64,4.75,4.04,17.62,0,0,0,6.67,1.26,0,1.6,5.58,0,8.83,0,0,78.26,0,5.11,0,0,0,15.16,0,0,0,1.12,1.86,0,1.49,1.1,0.85
108-118,0,0,0,0,19.87,0,38.33,1.48,0.81,19.04,6.05,0,1.62,5.65,3.54,0,2.43,0,0,19.93,0,1.58,75.16,0.45,0,0.42,0,1.49,7.86,0,1.51,0,0.47,8.5,0,6.05,0,1.5
120,0,0,0,0,15.76,0,41.17,2.28,0,31.81,4.49,0,0,6.32,3.52,0,12.2,0,0,42.92,0,4.24,259.42,4.62,0,18.49,0,11.71,1,0,0,0,0,2.96,0,0,0,0
