stage,glial,neural,spinal.cord,xanthophores
 24-34,0,2.8,0,0
 48-58,0,0.53,0,0
 60-70,0,4.29,0,1.18
 72-82,0,1.17,1.75,0
 84-94,0,2.08,1.8,0
 96-106,1.84,1.01,6.67,0
108-118,0,1.13,0,0
