stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,8.96,0,0,0,0,0,0,0,0,0,0,0,31.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.41,28.3,0.99,0,0,0,0,0,0,0,3.31,0,0,1.65,0,0,0,0,0,0,0,2.3,40.97,2.36,0,0,0,4.78,0,3.86,1.14,93.71,83.29,25.38,0,0,0,0,0
 24-34,0,3.81,126.42,0,0,19.42,54.53,14.87,0,0,2.05,0,0,0,1.34,0,0,0,0,6.9,0.62,0,12.23,689.48,0,2.89,4.69,0,38.77,0,0,1.45,54.21,50.97,218.06,0,0,5.24,0,0
 36-46,0,0.73,231.78,4.05,0,12.71,230.87,54.36,0,8.05,0,0,0,0,0,0,0,0,11.25,2.24,2.52,0,10.81,1491.51,0,11.98,20.42,0,67.71,0.81,0,2.9,64.27,6.35,345.63,0,0,0,0,10.83
 48-58,0,0,275.84,2.22,0,174.58,342.36,91.53,0,19.66,0.56,0.54,0.48,0.53,0,0,3.18,2.65,1.83,26.37,3.66,2.99,28.65,2160.27,2.97,10.8,10.89,0,71.71,0,0,4,61.91,0,317.75,0,0,1.42,0,20.6
 60-70,0,1.46,430.35,0.58,0,385.29,257.69,141.24,1.89,13.73,0,0,0,5.41,1.86,0,2.32,1.32,0,30.14,3.9,0,37.05,3979.43,0.68,10.16,27.22,0,88.15,0,0,0.6,60.59,0,366.48,0,0.6,0.64,2.52,0
 72-82,0,3.15,372.53,12.73,0,929.09,199.72,109.19,0.82,64.55,5.8,3.11,2.36,6.8,1.66,2.68,1.65,7.67,0,74.65,4.12,12.14,21.11,5720.96,1.23,3.8,68.59,0,76.7,2.5,0,0.57,17.26,0,315.39,11.08,2.99,10.54,1.3,33.37
 84-94,0,8.58,595.97,27.04,0,586.24,243.54,158.07,0.61,77.16,5.65,0,0.7,6.71,9.62,4.61,2.71,13.51,0,67.07,8.19,0,29.15,3697.01,0,10.9,114.07,0,160.46,0,0,3.91,30.77,0,144.52,26.01,3.95,1.24,3.29,12.39
 96-106,0,5.85,724.6,60.66,2.1,728.28,394.06,161.85,7.17,72.39,10.9,0,0,2.45,7.7,3.41,11.53,23.27,7.23,96.09,7.15,1.34,46.25,3546.27,1.64,18.43,153.43,0,149.84,11.73,0,4.61,41.75,0,85.5,14.88,5.04,23.81,7.09,0
108-118,0,6.28,924.15,18.14,8.97,670.95,366.06,254.31,2.07,63.95,16.82,0,0,5.24,19.53,5.66,3.1,13,2.63,67.58,9.81,3.1,60.34,5648.76,0,10.25,127.45,5.24,104.99,0,0,5.83,40.74,0,77.46,8.61,1.11,11.78,2.47,8.3
120,1.12,16.45,1186.03,57.31,1.61,909.78,268.11,301.67,21.1,124.35,7.98,0,0,19.17,4.04,2.88,4.82,25.48,0,93.59,20.36,15.02,57.28,11908.84,5.02,10.21,318.54,3.68,94.68,1.53,1.12,9.29,27.23,0,160.56,25.41,21.97,28.09,1.8,0
