stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,77.86,1537.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.66,0,0,0,0,0,0,0,0,0,0
  5-6,63.05,536.69,0,0,0,0,0,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0,0,28.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,12.29,0,22.93,0,0,0,24.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.79,0,0,0,62.12,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.15,0,6.99,0,0,0,17.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.84,7.14,0,0,34.38,0,5.07,0,0,22.21,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.65,0.85,0,4.13,0,0.85,0,0,0,0,0,0,0,0,0,0.88,0,0,1.04,53.95,5.02,5.23,0,0.9,0,12.37,0,2.76,0,0.85,15.51,0,0,1.09,0,0
 24-34,0,0,0,0,0.61,0,0,13.93,0,0.69,0,0,1.04,0,0,0,0,0,0,11.04,0.81,0,2.13,110.78,0,0,0.77,0,0,18.42,0,0,0,0,14.88,0,0,3.23,0,0
 36-46,0,0,0,0,0,0,0,10.01,0,5.46,0,0,0,0,0,0,0,0,0,7.51,2.24,0.71,0,67.68,2.6,0,0.75,0,0,40.34,0,0,0,0,6.84,0,0,0,0,0.98
 48-58,0,0,0,0,0,0,0,21.21,0,8.55,0,0,0,1.89,0,0,0,0,0.41,6.38,1.88,0,1.32,40,0,0,0,0,0,37.03,0,0,0,0,6.35,0,0.61,1.07,0,4.9
 60-70,0,0,0,0,0.71,0,0,23.52,0,15.15,1.91,0,0,0,0,0,0,0,0,17.32,1.46,0,0,60.14,0,1.81,0,0,1.22,13.44,0,0,0,0,5.01,0,0,0.93,0,1.56
 72-82,0,0,0,0,0.59,0,0,33.32,0,7.92,1.02,0,1.25,0.52,0,6.35,1.48,0,6.34,11.12,1.5,8.35,0,40.8,0,0.75,0,0,0,26.57,0,0,0,0,7.64,0,0,0.96,1.2,7
 84-94,0,0,0,0,9.53,0,0,26.93,0,14.83,2.06,0,2.23,6.15,0.59,0,0,0,0,9.53,4.09,0,1.67,52.07,0,0,0,0,0,51.01,1.4,0,0.94,0,1.11,0,0.88,9.22,0,4.76
 96-106,0,0,0.95,0,14.24,0,0,7.66,0.96,5.02,4.91,0,0,3.53,0.92,0,2.11,0,0.75,18.8,3.7,0,0.79,49.42,1.22,1.71,3.32,0,0,68.84,0,0,0,0,7.15,0,0,5.92,0,0
108-118,0,0,0,0,8.94,0.58,0.98,18.31,1.01,8.18,6.36,0,0.8,1.93,1.34,2.72,0.56,0,1.68,25.17,7.07,0.66,1.84,60.12,0.46,0,1.02,0,3.27,44.89,0,0,0,0,1.42,0.44,0,5.02,0,7.01
120,0,0,3.52,0,9.63,0,0,17.99,0,16.11,0,0,1.61,6.17,1.36,0,0,5.51,0,21.17,2.21,3.51,0,74.67,0,1.11,0,0,0,66,0,0,0,0,0,0,0,2.62,0,2.59
