stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.45,188.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.64,0,0,0,0,0,0,0
  5-6,0,270.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35,0,0,0,0,0,8.22,0,0,0,0,0,0,0
  7-9,23.7,12.4,36.61,0,0,69.5,0,0,0,3.89,0,0,0,0,0,0,191.56,17.71,0,0,61.37,0,0,0,0,0,0,0,0,0
 10-12,0,18.61,0,0,0,83.59,0,0,0,10.7,0,0,0,0,0,0,251.87,12.95,0,0,94.71,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.84,0,0,1.19,0,0,1.05,0,0,0,0,1.01,0,0,9.92,0,0,0,0,0,0,0.86,1.01,2.47,1.89,0,0,0
 24-34,0,0,0,0,0,2.18,0,0.83,0,0,0,0,0,1.36,0,0,29.8,0,0,0.69,0,0,0,0,0,0,7.5,2.94,0,0
 36-46,0,0,0,0.57,0,3.59,0.84,0,0,0,0,0,0,2.46,0,0,19.73,0.57,0,0,0,0,0,0,0,0,32.7,0,0,0.56
 48-58,0,0,0,0,0,5.34,0,2,0,0,0,0,0,3.16,0,0.52,18.6,0,0,0,0,0,0,0,0,0,9.09,0.77,0,0
 60-70,0,0,0,0,0,12.25,0,0.64,0,0,0,0,0,1.64,0,0,14.94,0,0,0,0,0,0,0,0,0,0,1.48,0,0
 72-82,0,0,0,0,1.58,29.06,0,0.89,0,0,0,0,0,9.36,0,2.12,34.81,1.46,0,1.47,0,0,0.55,0,0,0,1.55,1.47,0,0
 84-94,0,0,0,0,0,9.95,0,2.57,0,0,0.58,0,0,5.42,0.57,1.49,24.13,0,1.17,0.95,0,0,2.37,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,15.4,0,0,0,0,0,0,0,11.59,5.14,0,12.94,0,2.23,0.59,0,0,1.2,0,0,0,0,5.43,0.91,0
108-118,0,0,0,0,2.32,6.72,0,9.35,0,0,0,0.83,1.09,15.04,0,0,23.18,0,0,0,0,2.92,1.37,0,0,0,0,0,0,0
120,0,0,0,1.44,3.93,0,0,19.89,0,0,1.38,0,0,5.73,0,0,15.48,0,0,0,0,0,0,0,0,0,0,0,0,0
