stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,48.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.39,0,5.52,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.6,0,9.58,0,0,3.63,0,0,0,0,0,0,0,0,0,0,0,0,44.79,0,12.7,0,0,0,0,9.66,0,0,0,0,0,0
 14-21,0,0,0,0.87,2.01,0,0,0,0,0,0.94,1.15,0,0,0,4.52,0,0,3.73,28.41,3.06,0,0,0,16,2.89,12.22,18.77,0,0,0,0,0
 24-34,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,8,0,0,0,16.12,215.43,0,0,0,0,2.83,1.34,2.56,0,0,1.08,0,0.79
 36-46,0,0,2.32,0,0,0,0,0,0,0,0,3.43,0,0,0,1.33,0,0,0,29.53,288.22,0,0,0,0,1.94,0,3.26,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.58,0,0,0,0,0,0,0,1.1,0.71,0,0.39,0.91,4.74,157.06,0,0,0,0,0.86,0,2.98,0,0,0.52,0.78,1.08
 60-70,0,0,0,0,4.01,0,2.54,0.6,0,1.1,0,0,2.02,0,0,2.67,2.44,8.05,2.29,17.04,164.6,0,0.71,0,0,1.61,0,1.38,0,0,0,0.64,0
 72-82,0,0,0,0.75,0,0,0,0,0,0,0,0,0.63,0.52,0,2.15,0,0,2.18,7.47,301.75,0,0,2.85,0,1.28,0,3.97,0.5,0,0,0,2.83
 84-94,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0.73,0,3.13,0,1.7,0,8.54,270.89,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,3.34,0,0,1,1.87,0,0.75,1,4.28,4.72,0,0,0,8.98,418.55,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.46,13.63,0,0.54,2.14,0,0,0,0,1.67,1.72,0,0,0.48,13.2,353.72,0,0,1.5,0,3.51,0,0,1.89,0,0,0,0
120,0,0,0,0,0,0,0,0,1.49,0,11.15,0,3.38,0,0,2.5,0,0,0,0,294.16,0,0,2.49,0,1.21,0,0,0,2.15,0,0,0
