stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.36,0,2.98,29.98,7.55,19.21,0,0,0,5.84,2.74,0.81,0,1.87,0,0,0,0,12.69,0,0,14.29,339.04,7.27,2.36,4.78,7.96,0,4.42,0.9,43.07,2,1.39,32.69,98.1,0,0,0,0,0
 24-34,0,0,1.21,30.34,0.62,45.82,0,4.34,0,9,0,0,0,1.48,0,1.38,3.71,0,41.38,0,0,14.84,646.85,0,8.39,2.33,0,0,8.16,0,0,0.81,0,0.64,113.26,0,0,18.91,0,3.32
 36-46,0,0,0,1.24,1.1,95.43,1.3,0,1,20.44,0,0.73,0.64,0.56,0,2.16,0,0,42.41,0,0,14.69,549.56,1.45,5.81,3.11,0,0,13.51,0.81,0,0,0,0,81.88,0,0,1.38,0,0
 48-58,0,0,0,16.97,0,158.29,0,0,0,28.9,0,0.71,0,0,0.88,0.38,0,0.59,58.29,0,1.49,6.74,388.64,0,1.42,0,0,0,3.09,0,0,0,0,0,81.6,0,0.91,3.49,0,3.59
 60-70,0,0,0,7.62,0,230.79,0,2.04,0,30.35,0,2.21,3.92,0,0.93,1.39,0,9.89,57.11,0.58,2.61,4.48,378.53,0.71,0,0,0,0,21.75,0,0,0,0,0,61.09,0,0.94,6.78,0,0
 72-82,0,0,0,2.65,4.05,129.91,2.21,0,3.5,28.95,1.07,1.15,1.11,0.83,0,0,1.49,0,47.9,1.67,0,7.7,377.58,1.13,0.91,2.43,0,0.71,4.68,0,0,0,0,0,35.4,0,0.93,13.67,0,2.8
 84-94,0,1.01,0,13.13,0,106.72,17.4,0,2.66,28.03,0,0,0.65,0,1.33,0.67,0,1.35,74,4.3,4.79,7.6,219.05,0.69,2.63,0,0,7.18,21.32,0,0,3.74,0,0,24.78,0.71,2.79,4.35,0,0
 96-106,0,0,0,8.75,0,114.99,0,0.69,3.58,38.47,3.75,0,0,0,1.38,1.77,0,2.33,50.86,0,7.18,3.3,170.34,1.47,3.22,5.68,0,1.6,15.06,0,0,0,0.6,0,14.77,0.67,0,9.26,5.07,0
108-118,0,0,0,10.82,3.01,106.23,0,7.23,3.18,33.25,1.34,0,4.56,2.65,1.33,1.36,0,0,62.77,0,2.61,3.44,296.88,0,3.44,3.61,0,0,8.29,0,0,0.61,0,0,12.97,0.44,2.76,9.54,0,1.09
120,0,0,0,21.21,9.99,122.65,0,0,0,44.79,5.94,0,3.46,1.28,0,0,0,9.96,59.42,1.12,17.79,4.1,421.57,0,0,10.94,0,0,19.48,0,0,0,0,0,14.91,0,0,15.6,0,0
