stage,blastomeres,epidermis,eye,fast_muscle,glial,heart,lateral_line,mesenchyme,neural,otic,paraxial_mesoderm,spinal_cord,vasculature
  3-4,34.12,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.11,0,0
 24-34,0,0,0,0,0,0.62,0,0,1.88,0,0,0.66,1.13
 36-46,0,0,0,0,0,0,0.6,0,9.58,0,0,1.89,5.71
 48-58,0,0,0,0,0,0,0,0.81,7,0,0,7.13,1.01
 60-70,0,0,9.2,0,0.57,0,0,0.71,38.01,0,0,9.59,0
 72-82,0,0,43.23,0.51,0,0,2.92,2.42,34.82,0,0,8.69,0
 84-94,0,0,14.52,0,2.54,0,0.76,1.51,48.4,4.46,0,5.04,0
 96-106,0,0,32.43,0,1.38,0,0,0,37.25,5.25,0,1.52,0
108-118,0,0.7,5.67,0,2.61,0,0,0.56,24.13,5.17,0,3.7,0
120,0,0,40.25,0,0,0,0,0,58.13,2.71,0,13.28,0
