stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,12.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.34,85.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,12,0,0,0,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.02,0,0,0,5.22,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,46.12,0,42.36,0,0,0,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.44,0,0,0,51.82,0,0,0,0,12.58,0,0,5.09,0,0,0,0,0
 14-21,0,0,1.24,89.59,29.81,76.65,0,5.48,0,0,0,10.46,74.86,1.41,0,0,0,0,0,0,1.09,0,0,1.83,527.04,46.79,2.82,16.93,15.17,0,2.91,0,16.59,630.81,0,5.66,70.93,0,0,5,0,0
 24-34,0,0,0.66,81.68,26.48,90.84,0,28.64,0,5.34,0,89.82,39.12,0,0,0,8.55,0,5.33,24.38,2.69,0.63,0,4.49,236.9,67.78,2.65,13.38,0,0,0,0,0,864.19,1.3,0,18.92,0,0,2.8,0,0
 36-46,0,0,0,12.56,27.86,13.95,0,17.54,1.51,5.86,0,68.8,49.97,0,0,0,3.98,0,3.77,81.31,1.63,0.58,0,0.67,135.77,149.84,0,5.42,0,0,5.81,0,0,452.66,0,0,11.91,0,0,0,0,0
 48-58,0,0,0,11.56,3.11,14.54,0,29.56,3.48,1.79,0.37,53.51,119.43,0,0,0,8.05,0,12.12,85.08,4.43,1,0,0.93,91.77,29.56,8.37,8,0,0,0.47,0,0,319.6,0,0,5.28,0,0,0,0,0
 60-70,0,0,6.24,7.97,16.04,0,0,40.17,3.52,1.26,0,37.2,318.76,0,0,0,0,0,20.05,165.92,5.26,0,0,0,96.9,38.29,1.08,12.18,0,0,4.75,0,0,278.02,0,0,18.35,0,0,0,0.73,0
 72-82,0,0,19.58,6.8,7.86,24.89,0,62.48,2.65,0.76,1.28,40.28,692.23,0,0,0.72,0.83,3.24,41.11,118.22,13.72,3.79,0,3.68,140.74,7.66,1.68,30.16,0,2.23,0.83,0,0,344.9,0,0,1.63,0,6.01,6.83,0,5.54
 84-94,0,0,28.42,19.51,11.98,21.96,5.66,51.57,0,0.58,6.59,29.42,1333.89,0,0,3.29,2.68,0,38.31,282.95,22.27,0.61,4.07,0.82,143.75,0,1.84,31.29,0,1.59,6.11,0,0,758.32,2.11,0,6.52,0.74,0,1.84,0.68,6.18
 96-106,0,0,28.87,31.23,6.95,71.02,1.22,97.92,2.48,1.04,1.86,27.68,1416.49,0,0.62,3.43,0.6,2.39,60.44,207.95,23.56,2.83,0,1.12,339.81,4.58,1.22,33.59,0,0,15.89,0.76,0,596.35,0,0,0.98,0.59,0,2.66,0,6.46
108-118,0,0,19.57,40.19,17.32,57.38,19.21,44.73,0,2.34,2.08,13.16,1406.77,0,1.27,0.59,1.11,2.6,37.76,244.34,28.55,0,1.21,1.41,265.03,10.43,7.28,27.79,0,0,5.84,0,0,565.09,1.69,0,2.77,4.38,2.41,0,0,4.31
120,0,0,22.73,16.32,10.44,62.82,1.23,47.76,10.44,18.55,0,20.37,1050.82,0,0,2.29,1.48,0,38.57,169.57,19.12,0,13.58,0,355.39,0,11.41,28.1,0,0,7.02,0,0,370.42,0,0,0,0,1.52,0,8.85,0
