stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,30.18,535.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,0,0,0,0,0,0,0,0
  5-6,0,316.72,0,0,0,0,0,0,0,0,0,0,0,25.85,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,24.32,0,0,10.54,0,0,0,3.93,0,0,0,0,0,50.85,0,0,0,0,0,0,0,0,0,0,0,78.61,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.59,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,70.46,3.92,0,0,34.08,0,0,16.29,5.15,0,0,0,0,0,0
 14-21,0,0,3.01,1.01,6.08,12.4,0,0.88,0,0,0,1.25,0,0,3.92,0,3.97,0,0,3.63,0,8.09,0,0,9.52,29.14,2.01,0,0,0,0,3.97,0,38.95,0,2.58,8.17,0,1.16,0
 24-34,0,0,0,0,10.75,1.23,0,1.91,0.75,3.24,0,0,0,0,0.85,0,40.99,0,0,23.19,0,13.23,5.04,0,2.65,47.63,4.23,1.27,0,0,0,22.86,0,53.09,0,0,14.96,0,27.77,0
 36-46,0,0,0,0,0.63,0,0,8.22,0,0,0,4.54,1.22,0,2.59,2.06,58.28,0,0.61,2.78,0,3.58,3,0,1.42,53.4,0.66,0,0.58,0,0,18.81,0,51.23,0,0,11.79,0,8.72,1.28
 48-58,0,0,0,0,9.63,0,0,21.39,0.78,0,1.35,23.04,0,0,1.99,2.27,4.91,0,0,8.5,1.17,12.67,0,0,3.13,42.29,3.5,3.94,0.38,0,0,17.2,0,32.2,3.45,0,17.58,0,12.61,12.17
 60-70,0,0,0,0,9.86,1.74,0,36.15,0,0,0,138.56,2.42,0,0.66,8.81,8.13,0,0,0,1.94,36.88,0,0,6.36,43.78,2.63,0,3.91,0,3.28,16.38,0,20.74,0,0,36.56,0.59,8.6,16.67
 72-82,0,0,0,0,0,23.42,0,14.36,0,0,3.53,258.77,7.96,0,0,16.34,8.55,3.97,0.81,0,1.32,83.77,0,0,1.16,39.91,0,1.16,3.82,0,0,10.24,0,16.14,0,0,15.6,0.89,30.49,5.09
 84-94,0,0,0,0,10.16,33.88,0,22.76,0,0,0,190,5.91,0,0,9.3,18.53,1.99,0,0,0,41.63,0.91,1.22,1.23,50.66,0,0.71,0,0,0,29.53,0,19.13,0.78,0,2.04,0,12.86,9.21
 96-106,0,0,0,0,8.47,91.95,0,31.41,0,1.44,1.05,281.34,20.81,0,0,18.7,31.8,0,0,1.36,4.15,71.29,0,0,1.63,55.4,7.25,0.61,1,0,0,45.61,0,24.23,0,0,50.47,0,25.08,1.09
108-118,0,0,0.71,0,19.02,32.3,2.04,39.58,0,7.45,0.84,340.91,36.15,0,0.8,8.43,33.6,10.83,0.49,1.74,3.06,79.55,1.73,0,0.65,53.42,0,1.08,0,0,0,21.94,0,24.71,1.13,0,11.12,0.8,15.31,12.38
120,0,0,0,0,10.91,12.88,0,24.71,0,3.74,13.59,426.15,63.6,0,9.97,18.37,32.45,0,0,1.58,0,111.93,0,0,0,121.97,0,10.94,0,0,0,16.13,0,44.85,0,0,12.11,1.46,60.65,0
