stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,46.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,20.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.06,3.78,0,0,3.33,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,8.79,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,73,3.54,0,0,25.21,0,0,7.76,0,4.89,0,0,0,0
 14-21,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,2.65,0,0,0,0,0,0,0,0,0,0.89,0,0,0
 24-34,0,0,0,0,0,0.74,0,0,0,0,0,0.64,0,4.01,0,0,0,0,0,5.18,0,0,0,0,3.64,0,0,0,0,0.77,0,0,4.71
 36-46,0,0,0,0,1.93,0,0,0.69,0,0,0,0,0,0,0.61,1.36,0,0,1.7,4.19,0,0,0,0,2.71,0,0,0,0,0,1.67,0,1.11
 48-58,0,0,0,0,0,0.88,0.44,0,0,0.57,0,0,0,0,0,3.49,0,0,1.24,2.44,0,0,0,0,0,0,0,0,0,1.31,0,0,0
 60-70,0,0,0,0.59,0,0,0,3.16,0,0,0,0,0,0,0,2.34,0,0,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,11.21,1.77,0,0,0,0,0,0.7,2.2,0,0,7.02,0.55,0,0,0.52,0,0,0.59,0,2.26,0,0,0,0,0,1.05,0.57,0
 84-94,0,0,0,4.21,5.1,0.62,0,0,0,0,1.88,0,0,0,0,0.59,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0,0.63,0,0
 96-106,0,0,0,2.07,0.99,0,0,2.23,0.97,0,0.93,0,0.65,0,0,2.54,0,0,0,0,0,1.44,0,0,3.48,0,0,0.64,0,0,0,0,0
108-118,0,0,0,2.09,1.45,0,0.89,0,0,0,0,0,0,0,0,2.81,0,0.94,0.65,0.5,0,0.86,0,0,0,0,0.84,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,4.77,0,0,0,0,0,5.94,0,0
