stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,306.17,6316.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.03,0,0,0,0,0,0,0,0,0
  5-6,140.96,1665.49,0,0,0,0,0,0,0,0,0,43.89,0,0,0,0,0,0,0,0,53.63,7.03,0,0,0,70.76,0,0,0,0,0,0,0,0,0
  7-9,36.8,11.82,0,48.46,0,0,16.06,0,0,0,0,25.37,0,0,0,0,0,0,0,0,237.65,14.06,0,0,238.22,3.31,31.24,0,0,0,0,0,0,0,0
 10-12,0,0,0,17.68,0,63.38,22.68,0,0,0,0,10.01,0,0,0,0,0,0,0,0,127.46,10.68,0,0,265.58,0,0,0,21.33,0,0,0,0,0,0
 14-21,0,0,1.05,2.49,4.78,26.15,1.6,0,0,0.84,0.85,1.11,0,1.96,0,0,4.86,0,0,2.13,14.51,0,0,0,0,0,2.22,2.68,0,0,5.1,7.63,0,0,0
 24-34,0,0,1.05,0,1.41,3.21,0,0,0,0,0,0,3.27,13.84,0.66,1.63,9.81,0,0,1.53,6.47,0.68,1.19,0.63,0,0,0,0,0,1.15,0,7.02,0,3.34,0
 36-46,0,0,0,0,7.82,0,0.61,0.89,2.3,0,0,0,0,22.26,0,0.99,16.93,0,0,1.24,21.87,0,0,0,0,0,0,0,0,0,0,5.27,0,0.69,0
 48-58,0,0,0,0,3.9,1.51,1.89,0,4.85,2.35,0,0,0,26.03,0,0.39,8.06,0,0.55,1.58,6.04,0,2.15,8.81,0,0,0,0,0,0.93,0,7.3,0,0,0
 60-70,0,0,0,0,4.07,2.83,2.39,0,2.54,4.72,0,1.21,0,52.18,1.02,0,26.33,1.46,3.76,1.27,8.25,0,0.88,0,0,1.1,0,0,0,0,0,0.73,0,1.34,0.94
 72-82,0,0,0.87,0,1.19,0.54,0.79,0,14.25,0,0,0.99,0,42.47,0,0,8.45,1.59,0,0.66,11.76,0,2.88,0,0,0,0,0,0,0,0,0,0,0,0.84
 84-94,0,0,0,0,5.4,0,5.54,0,3.72,0,0,0,1.22,67.53,3.08,0,7.79,0,0,0,2.88,0,1.39,0,0,0,0,0,0,0.66,0,0,1.31,5.61,0
 96-106,0,0,0,0,5.9,1.91,0,0,0,0,0.63,0,0,67.08,0,0,9.97,0,1.88,0,6.85,0,2.35,0,0,0.81,0,0,0,0,0,2.7,4.09,2.13,4.09
108-118,0,0,0,0,4.86,0,1.6,0,3.45,1.54,0,0,0,96.07,0,0,8.77,0,0,0,26.93,0,0.49,0.78,0,0,0,0,0,0,0,0,0,5.24,3.08
120,0,0,0,0,14.8,0,4.01,0,0,0,4.45,0,0,131.55,0,4.01,29.47,0,0,0,33.52,1.38,0,0,0,0,0,0,0,0,0,0,0,9.47,0
