stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,86.58,1288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.21,0,0,0,0,0,0,0,0
  5-6,66.08,1299.5,0,0,0,0,0,0,0,0,0,0,0,19.26,0,0,0,0,23.32,0,0,0,0,0,0,0,0
  7-9,7.58,4.47,23.56,0,0,33.53,0,0,0,0,0,0,0,361.58,18.07,0,0,145.11,0,7.87,0,0,0,0,0,0,0
 10-12,0,0,6.86,0,0,29.05,0,0,0,0,0,0,0,324.88,17.95,0,0,173.86,0,24.02,0,5.33,0,0,0,0,0
 14-21,0,0,0.91,2.04,1.8,6.24,0,0,0.99,0,0,0,1.18,15,0,0,0,0,0,0,1.86,0,1.71,4.8,0,1.64,0
 24-34,0,0,0,0.86,0,9.07,0,0,0,0,0,4.44,0,79.31,0,0.96,0,0,0,0,0,0,0,13.24,0,0,0
 36-46,0,0,0,0,0,5.41,2.42,0,0,0,0,0,0,51.72,0,0,0,0,0,0.78,0,0,0,64.25,0,0,0
 48-58,0,0,0,0,0,10.33,0,3.12,0,0,0,1.5,0,53,0.96,0,0,0,0,0,0,0,0,14.05,0,0.52,0
 60-70,0,0,0,0.71,0,31.66,0,3.91,0,0,0,0,0,66.68,0,0,0,0,0,0,0,0,0,18.47,0,0.63,0
 72-82,0,0,0,1.08,0,12.14,0,6.96,3.34,0,0,5.25,0,46.2,0,0,0,0,0.58,0,0,0,0,9.91,0,0,0
 84-94,0,0,0,1.91,0,5.21,0,17.02,1.68,0,0,0.89,0,58.39,1.16,0,0.88,0,0,0,0,0,0,14,0,0,7.57
 96-106,0,0,0,14.3,0,21.2,0,53.29,3.98,0,1.17,3.68,0,149.49,0,0,1.67,0,3.58,0,0,1.14,0,13.89,8.32,0,0
108-118,0,0,0,2.85,0.49,4.44,0,177.94,0,0,0,1.86,0.66,76.14,0,0,0,0,0,0.48,0,0,0,2.52,0,5.89,0
120,0,0,0,1.19,0,10.39,0,426.11,1.47,12.97,0,28.4,2.96,432.74,0,0,0,0,1.64,0,0,0,0,52.12,0,0,0
