stage,axial,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  3-4,12.09,61.44,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,131.02,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.24,0,0,49.8,5.77,17.99,0,0,0
 10-12,0,0,5.03,0,0,0,0,23.33,0,10.76,0,4.36,0
 24-34,0,0,0,0,0,1.35,0,5.3,0,0,0.62,0,0.67
 36-46,0,0,0,0,0,0,0,4.27,0,0,0,0,0
 48-58,0,0,0,0,3.4,0.48,1.97,3.83,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.68,0,0,0,0,0
 72-82,0,0,0,0,1.53,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.56,0,0,0,0,0
 96-106,0,0,0,1,0,0.8,1.33,0,0,0,0,0,0
