stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,61.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,27.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0,0,0,0,0,26.2,0,0,0,19.45,3.78,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87,1.97,0,0,0,0,1.92,0,0,2.61,3.35,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.37,0,0.77,0.76,0,1.06,0,0,2.64,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,5.57,0,0,0,0.6,1.84,2.14,0,0,0,0,0,0,0,0,0,0,1.8,0
 48-58,0,0,0,0,0,0,0.59,0,0,0,0.8,0,0,0,14.31,0,0,1.17,0,0.52,0,0,0,0,0,0,0.38,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,5.29,0,0,0,5.74,0,0,0,19.24,0,3.2,0,0,7.66,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,2.04,0,0,3.42,0,1.39,2.62,22.93,0,0,0,130.87,0,5.64,0,0,32.5,0,1.28,0,0,1.89,0,1.75,0,0,0,0,2.63,0
 84-94,0,0,0,4.5,0.78,0,16.3,0,0,2.26,62.45,0,0,0,475.2,0,6.04,0,0,7.48,0,0,0,0,2.58,0,1.44,0,0,0,1.23,0,0
 96-106,0,0,0,1.57,16.26,0,36.6,2.93,8.31,3.32,148.39,1.9,0.74,1.6,942.03,0,7.39,0,1.29,116.6,0,5.1,0.86,0,7.43,0,7.02,0,0,0,0,4.36,0
108-118,0,0,0.55,10.9,0.76,4.71,42.57,0,1.03,5.95,218.13,0,1.13,0,2100.94,2.99,28.03,0,1.12,123.08,0,0,0,0,4.38,0,1.35,0,0,0.92,0,0,1.13
120,2.37,0,0,7.08,0,0,5.55,0,0,5.01,178.35,0,0,0,1236.36,0,2.5,0,0,161.27,0,13.99,0,0,1.66,0,1.62,1.37,0,0,0,0,0
