stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,periderm,pgc,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,13.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.84,0,0,0,0,0,0,0,0
  7-9,0,5.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.43,0,0,58.64,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.74,0,0,0,0,0,0,0,0,0,0,0,0,69.56,0,0,20.71,8.74,0,15.89,0,0,0,0,0
 14-21,0,0,1.13,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,4.21,0,0,111.26,0,0,0,1.35,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.69,12.06,0,0,0.67,0,0,12.52,0,1.09,133.19,0,0.67,0,2.56,0,0,0,2.07
 36-46,0,0,0,0,0.94,0,0,1.01,0,2.14,0,5.39,0.72,1.1,0,0,0,8.22,0.66,0,155.37,0,0,0,1.18,0,0,0,0
 48-58,0,0,0.49,0,4.83,0,0,3.84,0.49,0,0,11.35,0,0,0,0,2.14,7.82,0,0,141.77,0,1.65,0,0,0,0,0,0
 60-70,0,0,5.17,0,7.4,0,1.18,0,0,0,5.52,1.31,1.02,1.22,0,0,0,0,0,0,148.24,0,0,0,5.81,0,0,0,2.08
 72-82,0,0,9.69,0,3.76,0,0,1.93,0,0,0,2.43,0.67,0.92,0,0,0,1.77,0,0,53.09,0,0,0,0,0,0,0,0
 84-94,0,0,11.52,0,0,0,0.81,1.77,0.73,0,0,4.9,0,0,0,0,0,0,0,0,204.05,0,0,0,0,0,1.01,0,0
 96-106,0,0,35.26,7.24,6.77,0.64,1.98,6.19,0.7,0,0,12.6,7.37,10.89,1.75,0,0,8.35,0,0,206.58,0,0,0,0,0,0,1.67,0
108-118,0,0,28.92,0,7.36,0,2.68,0,1.53,0,0,12.52,1.23,2.8,1.71,0,0,0.84,0,4.93,240.45,0,0,0,2.64,0.51,0,0,0
120,0,0,89.37,0,0,0,13.46,0,0,0,0,14.1,0,0,4.04,8.33,0,8.16,0,0,266.7,0,1.99,0,0,0,0,0,0
