stage,blastomeres,epidermis,fin_epithelia,gut,immune,lateral_line,neural,notochord,otic,periderm,spinal_cord
  5-6,6.11,0,0,0,0,0,0,0,0,19.16,0
  7-9,0,0,0,0,0,0,3.36,0,0,3.51,0
 10-12,0,0,0,0,0,0,20.15,4.64,0,0,0
 14-21,0,3.43,0,1.09,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.9,0
 36-46,0,1.12,0,0,0,0,1.36,0,0,0,0
 48-58,0,1.03,0,0,0,0.73,0,0,0,0,0.46
 60-70,0,0.76,0.63,0,0,0,0,0,0,0,0
 72-82,0,1.16,0,0,1.25,0.79,0,0,0.66,0,0
 84-94,0,0.75,3.41,0,0,0.8,0,0,0,0,0
 96-106,0,1.92,0,0,2.1,2.32,0.64,0,0,0,0
108-118,0,1.34,0,0,0,1.64,1.91,0,0,5.25,0
120,0,8.05,0,0,0,0,0,0,0,14.95,0
