stage,blastomeres,endocrine_pancreas,endoderm,erythrocytes,eye,fast_muscle,fin_epithelia,gut,mesenchyme,neural,olfactory,paraxial_mesoderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,xanthophores
  3-4,11.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,15.18,0,0,0,0,0,0,0
 10-12,0,0,7.42,0,0,0,0,0,0,0,0,4.93,0,0,0,0,0
 14-21,0,0,0,1.09,0,0,0,0,0,0.91,1.51,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.07,0,0,0.8,36.32,0,0,0.72,0,0,0
 36-46,0,0,0,0,0,0.64,0,0,0,1.32,50.05,0,0,1.89,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,10.73,46.88,0,0,1.77,0,0,2.3
 60-70,0,0,0,0,1.6,1,0,0,0,3.56,31.17,0,0,0,0,0,0
 72-82,0,0.69,0,0,0,0,0,0,0,0,157.83,0,0,0,0,0.56,0
 84-94,0,0,0,0,1.66,0,0,0,0,4.08,119.19,0,0,0,0,0,0
 96-106,0,0,0,0,2.62,0,0,0.61,4.53,20.82,195.65,0,0,0,0,0,6.67
108-118,0,0,0,0,0,0,0,0,0,1.56,98.63,0,0.53,0,1.11,0,0
120,0,0,0,0,0,1.18,0,0,0,14.49,122.21,0,0,0,0,0,0
