stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,mesenchyme,muscle,neural,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,0,27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.36,0,0,0,0,0,0,0,0,0,0,8.95,0,0,0,0,0,0
 10-12,0,0,8.04,0,0,0,0,0,0,0,0,3.25,0,0,0,0,0,0
 14-21,0,0,0,0.83,1.34,0.86,0,0,0,0,2.67,8.49,1,1.22,2,3.97,0,0
 24-34,0,0,0,0,0,0.84,0,0.7,0,1.26,0,9.3,2.29,0,0,2.77,0,0
 36-46,0,0,0,0,0,0,0,0,0,3.08,0,2.05,0,0,0,0.61,0,0
 48-58,0,0,0,0,0,0,0,0,0,8.61,0,1.35,3.72,0,0,1.28,0,2.05
 60-70,0,0,0,2.98,0,8.34,0,0,0,0,0,1.6,3.62,0,0,2.45,0,0
 72-82,0,0,0,0,0,0.67,0,4.16,2.26,1.62,0,21.12,0,0.76,0,0,1.14,0
 84-94,0,0,0,0.63,0,0,0,0.68,0,0,0.98,3.49,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.17,0,0,0,3.64,0,0,0,0,0,0,1.03,0
108-118,0,0,0,0,0,0,0.48,0,0,1.04,0,0,0,0,0,0,0.65,0
120,0,0,0,0,0,0,0,0,0,0,0,5.78,0,0,0,0,0,0
