stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,10.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,20.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,9.16,0,0,0,0,0,0,3.85,0,0,0,0,0,23.83,0,0,0,0,0,0,0,0,0
 10-12,0,9.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.39,0,0,0,0,0,0
 14-21,0,0,0,0.83,0,0,0,0,0,0,0,0,0.88,0,0,8.8,0,1.53,0,0,0,0.87,3.63,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,0,0,0,2.09,1.7,0.78,0,0.73
 36-46,0,0,0,0,0,1.93,0,0,0,0,1.47,0,7.8,0,0,9.51,0,0,0,0,0,0,8.65,0,1.62
 48-58,0,0,0,0,1.58,0.75,0.45,1.53,0,0,1.9,0.48,2.54,0,0,1.78,0,0,0,0,1.71,0,0.76,0,0
 60-70,0,0,0,0,0,7.95,0,2.21,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.04,0,0.86,0,2.52,0,0,0,0,9.7,0,0,0,0,0,0,0,0.96,0,0,0,1.79
 84-94,0,0,0,1.99,0,2.1,0,0,0,0,0,0,3.6,0,0,6.2,0,0,0,0,1.13,0,0,1.7,0
 96-106,0,0,0,0,0,2.13,0,7.73,0,0,0,0,8.39,3.47,0,0,0.66,0,0,0,0,0,0,0,0.77
108-118,0,0,0,0.72,0,1.57,0,4.06,0.49,0,0,0,12.27,0,0.65,9.64,2.48,0,0,2.35,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,0,0,0,0,0,0,0,0,0
