stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,15.77,126.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.82,0,0,0,0,0,0,0,0
  5-6,0,78.36,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,12.95,0,0,0,60.28,0,0,0,0,0,0,0,0
  7-9,13.02,0,0,9.23,0,0,0,6.02,0,0,0,12.5,0,0,0,0,0,0,0,27.48,0,0,24.3,21.43,0,0,0,0,0,0,0,0
 10-12,0,15.43,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.26,3.54,0,24.74,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,248.29,0.85,0,0,0,0,1.5,0,0,0,0.87,0,8.39,0,6.66,2.08,0,0,0,0.85,5.76,4.3,34.64,4.56,0,0,0,0
 24-34,0,0,0,0,20.55,0,0,0,1.61,0,1.29,0,0,0,0,0,6.02,0,0,5.75,0,0,0,0,0,0,2.2,3.07,0,0,0,0
 36-46,0,0,0,0,0,0,0,2.41,0,0,0,0,0,0,0,0,28.24,0,0,6,0,0,0,0,0,0,0,0.82,0,0,0,0
 48-58,0,0,0,0,0,0,0,10.3,0,0,1.52,0,0,0,0,0,104.89,0,1.54,2.03,0,0,0,0,0,0,0,0.45,0,0,0,0
 60-70,0,0,0,0,0,0,0,27.93,0,0,0,0,4.35,0,0,0,504.47,0,0,12.24,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,12.78,0,0,83.47,0.5,0.88,3.14,0,2.63,0,0,0,736.33,0,4.45,32.41,0,0.5,0,0,0,0,0,6.3,0,0.99,0,1.92
 84-94,0,0,0,0,8.58,0,0,70.06,0,0,0.58,0,0,0,1.38,0,640.51,0,0,6.51,0,0,0,0,0,0,0,0.63,0,0.62,0,0
 96-106,0,0,1.78,0,0,1.09,0,118.91,0,0,0.59,0,3.01,0,0,5.41,759.26,6.17,2.24,25.07,0,0,0,0,0,0,0,0,1.68,3.08,0,0
108-118,0,0,0,0,5.75,2.91,0,109.44,0,0,0,0,4.31,0.77,0,3.99,919.39,6.63,1.16,56.79,0,0,0,0,0,0,0,1.9,0,0.53,0.86,3.36
120,0,0,0,0,1.85,0,4.04,136.82,0,6.71,7.58,0,0,0,0,0,548.9,0,0,61.16,0,0,0,0,0,0,0,0,0,0,0,3.15
