stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vasculature
  3-4,0,163.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0
  5-6,59.62,133,0,0,0,0,0,0,0,0,0,0,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,47.94,0,0,28.32,0,0,0,0,0,0,0,0,1479.65,0,0,0,0,0,0,0,0,0,116.72,14.3,0,0,29.11,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,5.86,0,0,0,0,847.87,0,0,0,0,0,0,0,0,0,13.23,16.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,10.34,0,3.75,0,0,0,0,0,7.12,0,58.14,0,13.39,0,0,0,0,3.53,0,0,20.59,0,0,0,0,0,3.31,0.9,0,13.32,0,0
 24-34,0,0,19.12,1.41,3.41,1.24,0,1.85,0,0,0,0,21.09,0,36.94,0,0,7.46,2.99,57.13,0,0,43.99,0,0,0,0,0,0.6,0,5.65,7.28,0,0.64
 36-46,0,0,5.54,0,0.65,0,0,0,0,0,0,0,10.87,0,13.87,0,0,0,0,26.45,0,0,32.26,0,0,0,0,0,0,0,2,0,0,1.67
 48-58,0,0,1.13,0,5.8,0,0,11.46,0,0,0,0,4.09,0,26.79,0,0,0,3.31,32.84,0,0.89,34.49,0,0,0,0,0,2.85,0,16.72,1.1,0,0
 60-70,0,0,1.79,0,4.88,0,1.77,1.38,0,0,0,6.26,6.7,0,0,0,0,0,0.57,26.64,0,0.89,20.73,0,0,0,0,0,0,0,5.66,0.9,0,0
 72-82,0,0,4.85,0,1.4,0.53,49.37,9.15,1.63,0,0,9.95,4.86,0,0.94,0,3.49,0,11.05,34.72,0,0,26.78,0,0,0,0,0,0,0,4,0,0,1.13
 84-94,0,0,1.93,0,9.74,0.89,91.25,8.99,1.09,0,0,24.47,11.76,0,0,0,0.83,0.99,0,68.32,0,0,43.5,0,0,0,0,0,0.55,0,0,4.66,0,0
 96-106,0,0,4.54,0,2.24,11.13,171.54,24.94,0.82,1.12,3.39,12.76,4.5,5.22,2.34,0.6,3.35,0,3.63,103.73,0,1.81,50.48,1.38,1.76,0,0,0.81,0,0.76,6.14,0,4.1,0
108-118,0,0,2.04,0,4.79,3.62,352.03,17.73,0,0,3.66,37.55,0,0,3.17,0.83,5.74,0,5.74,88.01,0.91,0,38.4,0,0,1.72,0,0,4.69,0,1.69,4.37,0,0.62
120,0,0,4.34,0,28.6,3.26,92.64,19.13,2.41,0,4.75,22.23,0,0,0,0,0,0,0,24.57,0,0,36.45,0,0,2.94,0,0,0,0,3.15,0,0,0
