stage,blastomeres,mesenchyme,neural,vasculature
  5-6,17.38,0,0,0
  7-9,0,0,10.37,0
 10-12,0,0,6.26,0
 24-34,0,0.94,0,5.89
 96-106,0,0,1.49,0
