stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,62.61,527.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,144.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.07,6.07,0,0,43.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.95,0,0,0,9.64,0,0,0,0,0,11.87,0,0,0,0,0,0,0,0,0,0,0,307.34,9.1,0,0,109.94,0,0,24.38,0,16.34,0,0,0,0,0,0
 14-21,0,0,0,0,7.32,0,0,12.2,0,0.82,0,0,0.97,3.13,0,0,0,0,0,0,0,6.87,0,0,5.05,38.61,0,0,0,0.82,0,0,0.9,5.52,0,1.93,10.67,0,0,0,0
 24-34,0,0,0.8,0,0,1.49,0,8.81,0,0.71,0,1.33,0,0,2.17,0,0,0,0,0,1.63,15.51,0,0,6.7,150.14,0.97,4.22,0.82,0,0,0.91,0,0,0,0,53.21,0,4.13,0,10.39
 36-46,0,0,0.73,0,0,0,0,8.02,0,0,1.1,10,0,0,0,0,0,0,0,0,0,13.23,0,0,0.55,212.44,3.47,5.37,0,0,0,0,0,0,0.74,0,55.23,0,0.73,0,0
 48-58,0,0,0,0,0.38,0.91,0,43.36,0,0,0.63,18.84,0,0,0.63,0,0,2.03,0,5.71,2.25,16.1,0,0,2.59,346.8,6.08,3.19,2.55,0,0,0.43,0,0,0,0,63.57,0,1.93,0,8.12
 60-70,0,0,0,0,0,0.76,0,79.29,0,1.49,0.93,28.12,0,0,0.9,0,0,0.57,0,0,2.33,35.66,0,0,1.85,375.19,2.75,0,0.63,0,2.16,0,0,0,0,0,47.42,0,1.58,2.04,0.94
 72-82,0,0,0,0,4.38,7.98,0,214.6,1.52,5.35,3.98,15.29,0,0,1.53,0.83,0.93,1.71,2.57,2.51,2.44,50.47,0.75,1.36,1.34,485.91,2.15,2.17,2.52,0,0,0.57,0,0,0,0,42.84,1.41,5.14,2.08,4.1
 84-94,0,0,0.84,0,3.6,14,0,125.53,0.67,0,4.65,36.88,0.61,0,0,1.36,2.58,4.06,1.82,0,4.37,49.54,0,2.63,3.35,345.83,0,10,5.19,0,0,7.06,0,0,0,0,29.6,0.75,3.34,3.75,0
 96-106,0,0,2,0,4.75,10.08,0,120.05,0,6.01,0.92,49.27,1.23,0,0.99,2.11,0,5.23,0.63,17.39,0,47.57,1.23,4.2,0.76,361.15,0.79,5.08,3.06,0,0,2.3,0,0,0,0,5.99,1.03,0.61,0.66,9.46
108-118,0,0,0,0,10.52,15.59,0.86,125.1,0,3.61,2.15,51.29,3.14,0,1.52,0.9,1.52,1.91,1.97,0,1.35,42.44,0,16.55,3.62,366.3,0.49,3.69,3.15,0,2.78,10.52,0,0,0,0,17.67,0.77,6.67,6.16,5.36
120,0,0,3.9,0,10.34,0,0,178.25,0,0,2.12,61.76,0,0,0,2.56,0,3.81,4.72,0,0,48.68,0,5.52,0,591.1,0,0,0,0,0,2.51,0,0,0,0,59.23,0,8.08,10.92,3.58
