stage,epidermis,eye,glial,gut,immune,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,12.68,0,0,5.11,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,5.2,0,0,7.27,6.67,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.05,0,14.35,0,0,0,0,0,0.84,9.19,4.95
 24-34,0.69,6.81,0,0,0,0,0,1.82,2.3,44.13,2.83,0,0,0,0,0,11.69,0
 36-46,0,2.28,0.69,0,0,0,0,0.73,0,31.83,1.21,0,0,1.23,0,0,10.37,0
 48-58,0,14.77,4.37,0,0,0,0,2.08,0,23.39,0.53,0,0,0,0,0,4.66,0
 60-70,1.07,22.81,6.15,0,0,0,8.92,1.8,0,49.33,0,0,0,0,0,0,16.24,0
 72-82,0.71,12.24,2.38,0,0,0,0,0,0,25.1,0,0.56,0,0,0,0,4.86,0
 84-94,0.86,7.77,2.45,0,1.2,0,0,0,0,27.14,0,1.07,0,0,0.87,0,0,0.57
 96-106,0,1.99,16.63,0,1.07,0,0,0,0,10.65,2.04,0,0,0,0,0,0,0
108-118,1.69,5.43,1.73,0.64,0.64,0.63,0,0,0,16.73,0,0,0,0,0,0,1.33,0
120,0,16.99,27.25,0,1.38,0,0,0,0,8.29,0,0,0,0,0,0,0,0
