stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,169.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.15,130.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.03,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.86,0,0,0,8.32,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.28,0,0,0,0,0,0,12.99,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,13.94,3.95,0,0,0,0,0,0,2.45,0,1.72,0,0,0,0,3.43,0,0,0,1.39,18.33,0.81,0,1.51,1.18,0,5.43,0,0,1.11,8.23,0,0,1.07,0,0
 24-34,0,0,0,0,18.7,1.9,0,4.17,0,1.71,0,0,1.02,0,6.11,1.77,0,0,0,0.64,18.88,0,0,5.32,49.88,0.59,3.62,1.39,0,0,26.38,6.69,0,0.67,8.63,0,0,7.54,0,2.37
 36-46,0,0,0,0,3.55,0,0,2.58,0,0,0.73,3.06,0,0,0,4.91,0,0.74,10.04,1.38,8.64,7.36,0.8,5.59,52.89,0,0.8,0,0,0,42.38,0,0.93,0,6.45,0,0,9.79,0,9.26
 48-58,0,0,0,0,6.26,0,0,6.06,0,3.09,0.42,4.97,0,1.83,10.09,0.37,0,0.73,0,0,13.64,0.53,0,1.47,10.62,0,0.62,0,0,0,21.92,0.8,1.07,0,5.49,0,0,4.21,0,11.18
 60-70,0,0,0,0,21.25,0,0,14.39,0,1.34,0.83,22.13,0,0,21.8,2.38,3.6,2.28,0,0.86,50.38,1.53,0,2.61,43.72,0,0,1.47,0,0,27.49,1.95,0.65,0,0.82,0,0,5.56,0,15.87
 72-82,0,0,1.26,0.75,11.95,0,0.76,12.44,0,2.41,0.94,26.4,1.3,0.84,14.04,1.91,0.55,2.22,0.64,1.69,32.18,0,2.5,0.68,36.44,0,0.49,1.27,0,2.37,15.77,4.7,0,0,0.8,0,0,15.42,2.51,2.08
 84-94,0.62,0,1.33,0,19.07,18.08,0,14.01,0.76,5.8,0,20.08,7.92,5.71,24.61,10.53,0,2.31,0,4.95,32.54,0.89,3.08,0,21.72,1.37,0,2.07,0,1.56,23.75,4.08,0.62,0,0.63,0,1.05,7.46,1,0
 96-106,0,0,0,0,10.65,0.96,0,8.93,0,3.65,2.19,21.32,6.74,3.88,11.89,4.15,0,1.34,1.99,0,34.98,0,2.89,0,11.47,1.15,2.18,2.51,0,5.15,37.43,1.33,0,0,0,0.87,0,13.31,3.84,0
108-118,0,0,0,0,9.83,0,0.45,5.22,0,2.82,0.48,29.5,6.16,0,20.25,6.11,3.39,6.99,0.93,0.58,35.96,1.21,5.43,0.62,10.93,0,1.68,2.72,0,0.91,10.69,0.46,0.44,0,0,0.6,0,14.59,0.79,0
120,0,0,0,0,31.88,0,0,8.23,0,0,1.82,56.24,8.5,0,46.16,2.71,4.98,6.46,1.23,1.64,16.89,0,19.79,4.81,39.15,0,0,3.16,0,0,17.86,0,1.6,0,0,0,1.54,11.13,10.85,0
