stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,lateral.line,liver,mesenchyme,muscle,neural,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,45.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.31,0,0,0,0,0,0,0,0,0,0,0,3.96,0,0,0,0,0
 10-12,16.97,0,6.03,0,0,0,0,0,0,0,0,0,0,0,24.05,0,0,0,0,0
 14-21,0,1.07,0,0,0,1.75,0,0,0,0,0,0,0,0,4.58,0,0.87,0,0,0
 24-34,0,0,0,0.64,0,0,2.09,2.67,0,0,0,0,0,0,14.54,0,2.24,0,0,0
 36-46,0,0,0,0,0,1.04,0,0,0.6,0,0,0,0.75,0.95,0.64,0,1.01,0,0,0
 48-58,0,0,0,0,0,2.39,0,0.43,0,0,0,2.84,0.44,0,6.32,0,0.57,0,0,0
 60-70,0,0,0,0,0,6.12,0.88,34.23,0,0,0,0,0.64,0,0.99,0,0,0,1,0
 72-82,0,0,0,0,0,3.03,2.23,136.36,0,0,0,1.14,1.87,0,22.09,1.64,1.21,0,0,0
 84-94,0,0,0,0,5.38,16.11,3.09,310.69,0,0,0.64,0,4.43,0,39.06,0,0,0,0,0
 96-106,0,0,0,1.72,5.1,24.63,4.03,517.01,0,1.73,0,3.93,5.56,0.62,35.83,6.73,1.71,2.52,0,0
108-118,0,0,0,0,0,3.9,6.84,539.15,0,0,0,1.44,1.08,0,33.76,3.89,0,0,0,1.42
120,0,0,0,0,0,6.9,0,515.33,2.09,0,0,0,0,0,14.53,0,0,0,11.14,0
