stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,256.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0
  5-6,8.23,28.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.25,0,0,0,0,0,0,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0,18.73,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,38.66,0,0,0,0,0,0,0,0,0,0,0,18.27,15.39,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.17,0,0,0,0,0,0,0,0,3.13,0.92,0,0,0,0,7.52,0,2.33,0,0,2.26,5.07,13.32,0,0,0,2.6,0,0,1.01,6.95,0,0,1.26,0,0
 24-34,0,0,0,0,23.7,0.78,0,0.66,0,3.34,0.71,2.69,0,0,0,0,0,0,0,4.75,0,11.17,0,0,1.83,8.21,3.1,0,0.77,0,18.95,0,0,0,4.56,0,0,1.44,0,0
 36-46,0,0,0,0,9.51,0,0,0.61,0,0.62,4.59,1.16,0,0,0,0,0,0,0,1.44,0,14.73,0,0,7.34,24.13,4.13,0,0,0,1.18,0,0,0,9.13,0,0,0,0,2.2
 48-58,0,0,0,0,3.62,0,0,3.71,1.92,8.53,2.9,0,0.49,0.48,0,0.53,0,0,0,0,0.97,24.84,1.73,0,6.91,38.03,8.74,0,0,0,16.08,0,0,0,6.86,0,0,0,0,0
 60-70,0,0,0.57,0,12.01,0,0,20.99,0,0,7.26,9.23,0,0,0,0,0,0,0,0,0,61.61,0,0,3.9,40.09,9.19,0,0,0,1.21,0,0,0,11.61,0,0.7,10.81,0,0
 72-82,0,0,1.47,0,3.46,7.89,0.61,17.45,0,2.75,2.93,5.98,0.67,0,0,0,0,0,0,0,0,49.78,1.85,0,4.32,26.41,3.1,0.75,0,0,3.62,0,0,0,0,0,1.16,2.18,4.59,0
 84-94,0,0,0,0,15.68,0.91,2.08,28.82,0,18.3,3.82,5.38,1.5,0,1.02,0.9,0,2.87,0.67,5.02,0,47.49,0,0,3.13,37.68,0.7,0,0,0,10.8,0,0,0,2.14,0,0,0,0,0
 96-106,0,0,0,0,10,5.19,6.14,10.26,0,1.63,7.05,1.99,6.53,0,0,0,0,0,1.04,9.53,0.6,45.95,0,0.7,0.56,33.67,0,1.03,0,5.13,0,1.71,0.7,0,2.32,1.26,0.94,0,1.73,0.8
108-118,0,0,0,0,3.47,2,49.15,11,0.52,0,1.86,0,12.76,0,0.86,1.13,1.11,6.82,0,6.16,0,26.87,0,1.48,3.55,48.37,1.52,0,2.56,0,0,0,0,0,0.94,0.95,0,0,5.68,0
120,0,0,0,0,5.4,0,14.78,4.6,0,1.42,1.44,20.96,19.66,0,0,0,0,0,0,2.26,0,7.83,0,15.38,7.89,55.94,0,0,0,0,0,0,0,0,0,0,5.26,0,1.99,0
