stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,hatching.gland,heart,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
  3-4,15.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.34,60.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.56,0,0,22.73,0,0,0,0,0,107.6,4.32,20.91,0,0,0,0,0,0
 10-12,0,0,20.63,0,0,3.33,0,0,0,0,0,0,0,0,82.12,5.46,59.66,0,0,0,0,0,0
 14-21,0,0,2.26,5.24,10.62,0,0,0,0,0,0,92.71,0,46.69,33.03,0,8.02,0,8.29,1.07,1.69,0,0
 24-34,0,0,0,0,0,0.85,0,0,0,4.3,11.61,35.03,0,4.25,4.83,0.7,0,0,0,0,0,0,1.14
 36-46,0,0,0,0,0,0,0,0,0,0,0,25.78,2.31,1.31,0.89,0,0,0,0,0,0,0,0.75
 48-58,0,0,0,0,0,11,0,0,0,0,0,6.25,0.39,1.26,10.79,0,0,0.42,0,0,0,3.75,0
 60-70,0,0,0,0,0,4.34,1.41,0,0,0,0,3.47,0.89,0,34.77,0,0,0,0,0,0,2.98,0
 72-82,0,0,0,0,3.86,4.53,0,0,0,0,0,4.02,0,0,1.79,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.75,0,0,0,0,0,2.1,0,0,4.97,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.45,0,0,0,0,7.76,0,0,7.81,0,0,0,0,0,0,0,1.56
108-118,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,8.91,0,0,0,0,0,0,0,0
120,0,0,0,0,0,6.97,0,0,0,0,0,3.09,0,0,3.33,0,0,0,0,0,0,0,0
