stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,3.4,199.99,0,2.68,0,0,0,0,0,9.34,0,0,0,0,0,0,33.99,0.9,0,79.54,44.82,0,0,0,3.49,0,0,27.52,0,702.79,1837.87,37.92,0,0,0,0
 24-34,0.88,0,0.86,164.1,0.66,10.64,414.23,0.62,2.75,2.85,0.73,12.66,5.14,0.62,0,0.93,10.46,0,59.35,0.93,1.79,172.69,230.99,0.59,4.65,0.74,1,0,17.86,1.55,0.61,366.57,1088.54,61.17,0,14.87,0,0
 36-46,0,0,0,29.1,0,5.62,558.86,0.6,0.59,4.83,0,3.47,0,0,0,0,13.41,0,35.99,0,1.26,94.68,120.83,0.57,0,1.51,0,0,6.25,1.05,1.35,178.97,46.12,38.05,0,0,0,0.66
 48-58,0,0,0,7.9,3.39,14.93,286.58,0.49,0.49,4.86,0,0.54,0,0,0,0.41,5.51,0.5,18.26,2.26,0,52.18,103.95,0,0,0,0,0,2.34,0,0,81.23,0,28.12,0,1.33,0,10.53
 60-70,0,0,0,1.17,0,12.84,109.77,0,0,17.28,0,0,0,0,3.43,0,0,0,5.64,0,1.73,28.77,60.75,0,0,0,0.81,0,0.57,0,0,30.66,0,5.58,1.93,0.83,0.61,15.93
 72-82,0,0,0,2.86,0,13.47,40.33,0,0.58,0,0,0,0,0,0,0,0,0,13.75,0,0,19.26,37.67,0,0,1.16,0,0,3.09,0,0,19.09,0,7.97,0,5.24,0,3.72
 84-94,0,0,0,2.27,0,5.07,75.15,0.63,0,1.23,0,0,0.87,0,0,0,0,0,9.23,0,0,13.48,20.29,0,0,0,0,0,1.57,0,0,24.12,0,0,0,0,1.05,0
 96-106,0,0,0,0.6,0,36.69,47.35,0,0,1.5,0,0.78,0,0,0,0,4.24,0,6.4,0,0,13.42,23.29,0,0,0,1.2,0,2.18,0,0,33.51,0,5.89,1.27,0.97,0,0.8
108-118,0,0.71,0,1.64,0,7.48,46.81,4.41,0,0,0,0,1.94,0,0,0,0,0,6.44,0,0,17.24,14.52,0,0,0,0,1.19,1.59,0,0,21.18,0,0,0,3.96,0,0
120,0,0,0,0,0,1.43,27.27,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,39.78,21.93,0,0,0,0,0,0,1.12,0,8.5,0,0,0,0,0,1.16
