stage,eye,glial,mesenchyme,neural,olfactory,somites
 14-21,0,0,0,0,0,0.88
 24-34,0,0,0.8,0,0,0
 36-46,0,0,0,0,50.21,0
 48-58,0,0,0,0,54.73,0
 60-70,0,0,0,0,26.31,0
 72-82,0,0,0,1.31,84.03,0
 84-94,0,2.11,0,0,18.02,0
 96-106,0,0,0,0,93.66,0
108-118,1.04,0,0,0,157.52,0
120,0,0,0,0,26.99,0
