stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,54.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0
  5-6,0,48.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.45,0,0,0,0,0,0,0,2.77,0,0.92,0,80.15,0,0,49.06,0,0,4.33,0,1.63,0.83,0,0,0,0,10.07,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.68,8.97,0,0,0.66,0,2.83,0,1.93,0,0,0.94,0,380.5,0,0,48.19,4.55,0,52.89,0,0,20.48,0,0,0,0,151.56,0,0,0.72,0,0,0,0,0.81
 36-46,0,0,0,0,4.99,0,0,2.55,0,0,0,0,0,0.59,0.88,0,195.2,0,0,35.09,59.63,0,40.31,0,0,30.23,0,5.17,0,0,392.86,0,1.28,7.31,0,0,0,0,7.26
 48-58,1.15,0,0,0,4.99,0,0,5.96,0,8.23,0,3.44,0,21.15,0,0.41,57.57,3.23,0.95,6.66,22.8,4.11,12.4,0,0.41,38.36,0,14.41,0,0,413.28,0.61,0,3.37,0,0,0,0,46.98
 60-70,0,0,0,0,16.92,0,0,16.58,0,1.77,0,2.4,2.47,34.27,0,18.45,65.24,0,9.08,7.21,18.69,3.52,16.39,0,0,19.92,0,18.43,0,0,652.11,0,2.06,1.73,0,0,0.58,0,69.88
 72-82,0,0,4.88,0,71.62,5.25,1.65,21.85,0,7.99,0,14.94,7.29,7.4,0,24.34,149.03,5.05,0,175.12,7.91,20.44,18.37,2.38,1.06,107.34,0.76,45.18,2.18,1.4,1091.83,0,0,9.05,18.37,0,2.68,0,94.46
 84-94,0,0,7.69,1,162.3,9.48,0,35.81,0,43.7,5.94,1.8,7.63,27.81,0,23.65,237.23,15.02,0,502.75,5.1,15.33,39.46,0,0,43.47,0,23.7,0,0,2998.4,1.07,1.25,9.39,16.54,0,3.43,0,85.97
 96-106,0,0,13.07,1.07,669.06,20.53,6.54,126.19,0,80.23,7.78,33.09,34.64,0,0.61,90.16,364.76,27.07,5.25,1091.26,1.73,87.35,89.31,0.58,5.1,323.04,0,116.6,9.6,6.04,4683.49,3.48,4.11,17.82,37.7,1.88,7.48,3.31,37.24
108-118,0,0,5.46,0,787.86,5.22,4.27,96.02,0,186.35,9.43,22.16,53.89,0,0,73.91,486.03,57.35,9.84,2396.47,3.12,52.53,109.43,2.13,5.52,282.84,1.45,87.99,7.41,5.96,4839.29,1.75,2.61,17.06,70.4,4.79,9.34,6.1,75.9
120,0,0,32.94,0,677.27,3.88,0,85.22,2.76,106.15,7.5,21.61,49.07,0,0,117.43,212.83,15.11,2.85,1077.53,1.6,10.95,69.65,0,7.54,241.36,4.03,69,8.26,0,3539.44,0,1.37,2.38,51.09,0,13.73,11.05,17.46
