stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,105.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0,0,0
  5-6,0,18.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.75,0,0,0,0,0,17.37,0,0,0,0,0,0,0,0,0,0,23.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,54.85,0,14.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.13,3.08,0,0,12.64,0,0,5.33,0,8.56,0,0,0,0,0,0
 14-21,0,0,0,0,375.98,1.02,0,4.09,0,10.99,0,0,0,0,0,0,2.78,0,16.25,0,52.99,0,0,10.3,21.93,0.99,13.8,17.42,0,0,0.83,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,582.43,0,0,1.89,0,25.13,0,0.93,0,0,0,0,41.13,0,160.52,0,191.34,8.21,0,34.04,76.23,0,51.19,35.98,0,0,11.92,0,3.15,0,6.9,0,0,16.14,0,0
 36-46,0,0,0,0,323.54,0,0,18.16,0,8.13,0,1.71,0,0,0,0,32.94,0,92.87,0,400.49,0.98,4.54,51.61,107.35,0,11.68,26.46,0,0,0,0,0,0,7.32,0,0,12.44,0,0
 48-58,0,0,0,0,250.46,3.17,0,31.67,0,14.48,1.2,3.16,0,0,5.28,0,8.24,0,98.2,0,1056.21,0.52,2.82,69.6,128.3,0,7.16,35.24,0,0,1.96,0,0,0,13.55,0,0,7.25,0,0.99
 60-70,0,0,0,0,286.55,0.57,0,27.06,0,2.05,0,9.88,0.69,0,9.32,4.72,0,0,98.78,0,2044.75,4.47,1.36,88.44,140.68,0,3.33,6.13,0,0,2.61,0,0,0,2.67,3.02,19.9,26.4,0,3.77
 72-82,0,0,0.61,0,379.96,6.63,0,98.09,0.65,3.11,4.76,14.33,13.37,0,69.24,0,11.7,0,182.28,1.03,3781.78,3.33,28.04,277.11,222.3,0,5.34,25.73,0,0,6.13,0,0,0,22.6,33.95,14.34,95.05,8.94,4.09
 84-94,0.62,0,0,0,730.45,0,0,265.19,0.68,3.02,2.65,8.12,42.04,0,54.83,6.53,46.56,10.16,121.42,0,2834.42,2.63,82.87,127.86,131.69,0,2.85,22.81,0,0,2.67,0,0,1.52,12.96,158.84,35.46,74.88,6.7,0
 96-106,0,0,0,0,774.15,7.47,10.35,193.82,0,5.86,3.09,32.85,102.58,0,93.42,9.84,32.51,1.5,87.65,22.6,3721.59,2.2,104.16,99.12,371.17,9.1,8.79,24.55,0,11.63,13.96,0,0,0.6,5.42,195.17,21.71,54.95,19.07,6.49
108-118,1.16,0,0,0,615.76,11.72,15.75,56.78,0,7.1,1.48,7.48,117.78,0,45.64,5.77,33.11,0,75.04,3.62,5063.9,5.64,53.24,92.7,293.33,0,2.04,28.76,0,6.24,7.71,0,0,0.85,15.11,229.77,16.95,104.95,3.6,0
120,0,0,0,0,386.37,1.36,0,175.67,0,6.38,2.81,19.28,34.28,5.2,71.63,0,29.66,0,11.57,0,3930.39,3.31,156.41,14.17,229.44,0,1.62,31.36,0,2.67,1.33,0,0,6.04,103.54,45.2,0,46.34,10.94,0
