stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,5.57,0,46.41,0,0,0,2.19,1.21,0,0,0,0,0,0,0,10.24,0,0,2.87,265.86,1.29,0,0,0.94,0,0,0,0,0,1.27,4.05,19.96,0,0,0,0,0
 24-34,0,7.6,2.06,0,368.06,0,0,0.62,14.35,0,0,0,0,1.57,0.86,0,0,11.64,0,0,8.06,5269.74,1.67,20.68,1.6,0,0,6.96,0,0,0,0,1.28,422.82,0,0,9.57,0,0
 36-46,0,6.92,4.12,0,1348.5,3.91,0.57,0.57,63.07,0,3.02,6.92,0,2.2,0,0,6.76,91.2,0,0.56,11.26,21459.86,5.95,47.43,9.63,0,0,29.06,0,2.6,0,3.29,1.23,3980.18,0,0,3.43,0,5.54
 48-58,0,45.79,7.45,0,1541.15,1.23,0.78,7.68,221.95,0,0.59,9.67,5.81,8.32,1.45,0,5.79,115.65,0.7,9,16.1,15263.8,4.76,31.41,2.69,0,0.47,12.9,0,0,0.4,0,0,4863.14,0,0,9.61,0,19.45
 60-70,0,19.07,30.35,0,1210.43,0,3.81,3.95,95.35,0,1.01,4.49,0,4.72,2.2,8.92,0,95.91,0,6.96,10.06,10609.65,0,33.41,4.3,0,0,15.79,0,5.3,0,0,0,3130.86,0,5.3,8.55,1.77,34.63
 72-82,1.37,27.68,195.91,0,708.02,0,0,0.68,78.18,3.4,0.66,4.78,0,2.8,0,0,0,88.88,0,0.71,8.29,6658.52,0,28.5,0.5,0,0,0,0,0,0,0,0,1550.87,0,5.75,15.76,2.12,20.47
 84-94,0,23.06,118.66,0,729.45,5.79,0.8,0.65,113.08,2.73,0,6.92,1.22,6.28,0.97,0.83,0,90.43,0,2.03,5.15,4682.28,5,21.1,24.35,0,0,5.39,0,0,0,0,0,966.38,1.06,6.91,1.63,0.8,0
 96-106,0,43.62,292.48,0,463.28,0.78,1.68,3.45,81.9,1.38,0,5.84,0,0,0,14.12,0,79.08,0,4.5,0,3423.47,0,26,2.91,0,0,11.09,3.39,0,0,0,0,375.04,0,1.26,6.65,3.83,7.43
108-118,0.57,26.93,127.05,0.55,468.81,0,1.64,3.01,58.85,1.82,0,6.56,0.86,9.34,0,2.44,0,47.18,1.76,1.04,6.71,3864.27,0,24.4,4.66,0,0,4.14,0,0,0,0,0,289.36,1.13,0.45,4.26,4.58,0
120,1.73,27.12,112.84,8.96,537.95,0,1.33,0,89.81,6.64,0,9.72,0,0,0,0,0,81.21,0,0,1.12,5292.54,6.27,48.12,19.27,0,0,12.06,0,0,0,0,0,478.6,0,0,0,0,0
