stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,12.05,4.99,5.69,0,0,0,3.08,0,2.29,0,0,0,0,0,0,0.88,1.77,0,0,9.98,26.45,0,0,0.94,0,0,0,0,16.03,0.99,3.19,15.47,18.63,0,0,0,1.35
 24-34,0,0,2.87,0,12.1,0,0.6,0,0.93,0,0,0,0,0,0.63,0,0,0,10.83,0,0,1.42,107.05,0,2.3,1.8,0,0,5.9,0,0,0,0,1.38,21.53,0,0.64,0,0
 36-46,0,0,1.07,0.73,16.71,0,0,0,1.76,0,0,0.88,0.81,0,0,0,0,2.73,5.12,0,0,4.22,81.97,0,1.36,0,0,0,0.87,0.81,0,0,1.13,0,26.04,0,0.91,0,0
 48-58,0,0,0.82,0,16.35,0,2.15,0.81,11.63,0,0,0,0,0,0,0,0,3.32,17.26,0,0,2.81,103.59,0,1.54,0.66,0,1.12,1.05,0,0,2.86,0.4,0,20.05,0,2,0,0
 60-70,0,0,1.63,0,30.15,0,0,0,12.82,1.93,0,0,0,0,5.1,0.59,0,0,11.27,0,0,1.89,101.73,0,10.24,0,0,0,0,0,0,0,0,0,9.41,0,0,0,1.87
 72-82,0,2.79,0,0,29.42,0,1.26,0,9.29,0,0,0,0.53,0,0,0,0,0,21.44,0,0.55,3.75,123.69,0,5.96,2.28,0,0,3.14,0,0,0,0,0,22.02,0,0.98,0.91,0
 84-94,0,0.84,1.84,4.08,29.04,0.64,0,1.45,3.39,0,0,0,2.07,0.55,1.7,0,0,0,15.63,0.78,0,2.15,112.28,0.72,4.15,1.75,0,0,9.53,0,0,0.8,0,0,0.69,0,0,0,0
 96-106,0,0,0.64,6.77,24.97,1.64,0.59,0,6.11,0.85,0,0,2.05,0.98,0,0.77,0,0,11.99,0,0,3.52,83.07,0,6.87,0,0,2.01,4.23,0,0,0,0,0,3.62,0,9.33,0,0
108-118,0,0,5.7,0,25.93,1.32,0.48,0,13.68,1.17,0,0,0,0,2.95,0,5.03,0,28.62,0,0.49,3.16,72.28,0,3.5,1.68,0,1.02,2.39,0,0,0,1.07,0,0,0.52,1.05,0,1.1
120,0,0,4.74,0,11.27,0,0,0,0,0,0,0,6.7,3.14,1.01,0,0,0,35.97,0,0,0,206.25,0,0,0,0,0,5.92,0,0,0,1.63,0,0,0,17.52,0,0
