stage,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,iridophores,mesenchyme,muscle,neural,olfactory,periderm,spinal.cord,taste,xanthophores
  7-9,0,0,0,0,0,0,0,0,6.86,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.05,0,10.07,0,0,3.41,0,0
 24-34,0,0,0,0,0,0,0,0,34.31,0,0,6.88,0,0
 36-46,0,0,0,0,0,0,0,0,109.81,0,0,10.16,0,0
 48-58,0,0,15.89,0,0,0,0,0,206.89,0,0,34.37,0,0
 60-70,0,0,46.99,0,0,0,0.67,0,333.12,0,0,33.6,0,0
 72-82,0,0,56.84,0.62,1.62,2.8,4.08,0,494.75,0,0,33.18,0,0
 84-94,0.74,0.56,56.99,0,2.06,0,2.81,0,308.79,0,0,26.28,2,0
 96-106,0,2.59,56.41,0,3.42,0,2.39,0,283.15,1.7,0,2.11,0,3.35
108-118,3.86,0.86,63.31,0,3.12,0,0,0.53,170.51,0,0,16.24,0,0
120,0,0,36.8,0,0,0,0,0,327.36,0,3.74,0,0,0
