stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,125.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.97,62.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,6.05,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,88.33,0,0,0,3.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.03,0,0,0,17.75,0,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,83.78,9.18,0,0,17.8,0,0,8.5,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,12.07,0.85,0,9.1,0,0,0,1.94,0.82,0,0,0,0,0,0,0,9.81,0.9,0,0,7.22,107.3,2.08,0,0,17.43,4.77,5.24,1.45,1.03,10.8,36.19,0,0,5.11,0,0
 24-34,0,0,0.75,0,4.96,1.29,0,23.11,0,1,0,8.72,0,0,1.18,1.74,4.82,0,0,0.71,2.52,29.73,2.02,0,7.5,401.12,2.11,6.54,3.52,0,5.45,0,0.84,0,4.19,97.52,0,0,15.3,0,8.42
 36-46,0,0,0,0.84,2.35,0,0,65.81,0,2.46,1.25,16.76,0.56,0,1.06,2.06,0,0.61,0,0,38.12,34.7,0,0.63,10.74,639.86,1.41,5.13,0.57,0,9.2,0,0,0,0,168.2,0,0.62,8.65,0,1.94
 48-58,0,0,0,0,14.27,0,0,124.1,0.9,0.54,5.17,37.44,0,0.48,2.15,0,0.49,0,0.39,0,7.11,36.78,0.39,2.76,9.91,679.17,0.88,3.66,1.13,0,4.73,0,0,0,0,96.33,0,0,4.39,0,4.02
 60-70,0,0,0,0,2.31,4.47,0,292.81,0.95,3.16,8.97,47.38,0.62,0,2.11,12.07,0,6.76,1.16,1.82,21.85,34.62,0.73,0,9.82,769.87,2.55,5.45,1.61,0,13.04,0,0,0,0,91.47,0,1.03,8.01,0,26.22
 72-82,0,0,0.57,0,8.08,0,0,188.81,0.59,0,14.59,47.16,1.75,0,0.56,0,0.63,4.02,0.88,0,16.25,59.4,0.74,0.49,7.97,453.16,0,2.01,1.21,0,5.66,0,0,0,0,38.12,0,0,17.4,1.42,21.2
 84-94,0,0,0.98,1.04,8.34,0.64,0,143.81,0,1.24,0.58,26.65,4.8,0,0,7,1.53,1.45,0,0.56,23.08,48.33,5.18,11.16,7.6,378.66,0.94,4.72,2.72,0,12.99,0,0,0,0,39.47,1.01,5.98,32.94,0,7.42
 96-106,0,0,0,0,4.74,6.49,0,113.38,0,1.92,0.85,32.97,0,0,0,8.37,0.77,2.02,1.41,0,15.6,37.12,12.77,2.96,3.16,273.62,0,1.88,3.78,0,6.86,0,0,0,0,23.4,0,0,7.47,1.7,14.71
108-118,0,0,0,0,7.28,0.41,0.49,114.29,1.3,1.42,6.74,18.77,5.81,0,0,1.75,1.12,6.85,1.77,0.69,12.56,28.43,0.77,1.03,4.03,307.11,1.58,4.59,3.37,0,16.97,0,0.48,0,0,21.3,0.5,0,8.8,0,6.02
120,0,0,0,0,19.26,0,0,105.28,0,0,0,47.6,6.87,0,3.84,4.39,0,0,0,1.73,5.63,38.72,0,0,0,415.51,6.66,9.33,8.44,0,16.38,0,0,0,0,26.21,0,1.56,4.53,0,3.6
