stage,blastomeres,eye,glial,gut,heart,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.14,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,20.02,0,3.95,0,0,0
 10-12,0,0,0,0,0,0,0,0,21.42,0,15.88,0,0,0
 14-21,0,0,0,0,0,0.95,0,1.31,7.22,0,0,2.3,2.54,0
 24-34,0,1.14,0.89,0,0,1.69,0,0.74,10.96,1.85,0,0,2.45,0
 36-46,0,0.81,0,0,0,0,0,0,9.13,0,0,0,0,0
 48-58,0,9.46,0.66,0.39,0.64,0,0.4,1.3,6.86,0,0,0,1.71,0
 60-70,0,8.83,0,0,0,0.78,0,0,13.86,0,0,0,0,0
 72-82,0,0.52,0,0,0,0,0,0,3.85,0,0,0,0,0.93
 84-94,0,4.34,2.04,0,0,0,0,0.69,0,0,0,0,0,0
 96-106,0,9.47,0.72,0,0,3.15,0,0,2.67,0,0,0,0,0
108-118,0,0,0,0,1.04,1.87,0,0,5.43,0,0,0,0,0
120,0,0,0,0,0,0,0,0,14.55,0,0,0,0,0
