stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,153.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.33,80.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.68,0,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,71.14,0,0,0,13.16,0,0,9.99,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.74,5.05,0,2.67,0,0,0,0,0,3.58,0.93,0,0,0,0,0,0,2.14,0,0,0,32.18,1.57,0,0,9.63,0,0,0,0,4.27,17.55,0,0,0,0,0
 24-34,0,0,0,2.55,3.48,0,10.73,0,0,0,0.65,1.94,0,2.56,0,0,0,0,0.61,0,6.99,0,0,0,106.12,0,1.96,0,0,0,0.7,0,0,1.3,46.52,0,0,2.16,0,0.63
 36-46,0,0,0.61,0,1.1,0,41.19,0,0,0,3.82,0,0,0,0,0,0,0,0,0,2.16,0,0.8,1.32,164.45,0,1.48,10.77,0,0,7.99,1.61,0,0,47.34,0,0,1.23,0,0
 48-58,0,0,0,0,3.81,0,160.32,0,0,0,12.45,0,0.54,0,0,0,4.16,0.45,0,0,9.17,0,0,2.79,279.83,0,0,2.74,0,0,0,0,0,0,50.08,0,0,0.43,0,1.31
 60-70,0,0,0.7,1.05,3.58,0,752.59,0,0,0.84,7.28,0,0,0,0,0,0.87,0.63,0,0,20.97,0,0.93,5.69,362.81,2.15,2.03,1.01,0,0,6.27,0,1.06,0,63.1,0,0,3.52,0,0
 72-82,0,0,0,1.87,25.8,0,1143.31,0,0.8,0.79,61.33,0,0,0,1.13,0,0,0.83,0,0,22.12,0.73,0,2.34,380.4,0,14.81,0,0,0,1.35,0,0,0,52.19,1.36,1.43,0.71,0,1.14
 84-94,0,0,0,4.72,30.46,0,741.05,0,0,4.15,35.81,0.63,0,0,0,0,3.19,0,0,0,25.11,2.15,0,4.07,235.93,0,9.73,2.31,0,0,5.43,0,0,0,55.39,1.8,0,2.07,0,0
 96-106,0,0,0.81,14.16,43.08,0,1138.66,1,1.1,0,34.27,1.98,0,0,4.77,0.9,0.66,0,8.5,1.15,22.02,0.69,1.37,0.61,239.79,0.7,7.54,2.61,0,3.14,0.95,0,0.6,0,16.38,0.58,0,0,0,4.04
108-118,0,0,0,19.89,18.21,7.76,1330.75,8.73,0.48,3.21,25.7,2.52,0,0,0.53,0,0,0,0,0.66,44.74,0,4.51,9.72,297.91,0,5.16,4.42,0,1.49,2.27,0,0,0,14.99,0,0,2.71,3.33,2.18
120,0,0,0,48.16,35.18,0,1144.21,2.34,0,0,52.27,5.27,0,0,13.07,0,0,2.11,19.69,0,82.72,0,28.01,9.78,426.06,11.22,6.26,11.57,0,0,7.09,0,0,0,22.83,0,0,0,2.09,8.94
