stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,3.44,58.5,24.71,0,38.48,0,0,0,1.2,3.87,8.95,0,0,2.34,0,0,0,0,18.41,0,0,18.75,178.63,5.5,1.77,1.85,5.81,0,18.76,3,56.05,0,14.11,203.45,67.33,0,0,1.82,0,2.45
 24-34,0.8,0.65,9.39,4.29,0,49.01,0.9,0,0.64,4.6,0,0,0,0.72,4.23,1.56,0,1.67,0,28.72,0,0,11.93,272.92,2.94,4.38,0.69,0,0,18.83,0,0,0.65,0.95,24.26,49.76,0,0,5.21,0,1.69
 36-46,0,0,0,0.58,0,59.3,0.67,0,1.77,7.17,0.58,0,3.86,0.94,1.55,0,0,1.24,0,28.18,0,0.63,9.35,306,8.06,5.75,0,0,0,15.06,0.81,0,0,5.22,0,50.39,0,0,1.75,0,0.66
 48-58,0.46,0,8.62,1.07,0,101.36,13.99,1.41,3.27,23.04,0,0,1.59,1.04,5.07,1.77,1.05,6.66,1.74,53,1.15,2.06,21.6,352.86,1.85,8.67,2.39,0,0,21.62,0,0,0.83,0,0,60.53,0,0,8.4,0,1.72
 60-70,0,0,5.88,0,0,161.66,0.83,1.46,1.63,32.99,2.68,0,10.33,0,0,0,0.59,1.56,4.22,52.5,0,1.3,8.76,384.17,0,1.15,3.09,0,0,23.96,0,0,0,0,0,54.25,0,1.77,2.28,0,3.87
 72-82,0.76,0,3.15,5.84,0.55,133.9,0,3.4,5.99,24.68,3.2,0,3.27,1.01,0.53,0,1.27,0.62,0,79.14,0.92,1.17,8.35,256.37,2.6,1.71,6.13,0,0,19.51,0,0,1.62,0,0,27.16,0,0.49,16.74,1.15,1.31
 84-94,0,0,13.81,6.86,0,92.94,0,0,2.45,11.36,5.65,0,0,2.14,2.66,0,0.86,0,0.58,70.96,2.02,1.88,15.09,195.74,6.92,2.62,0.67,0,0,36.87,0,0,2.22,0,0,12.75,0,1.65,1.85,4.18,7.11
 96-106,0,0,15.34,21.69,4.38,96.47,0.9,1.84,2.02,26.13,4.57,0,0,6.71,1.42,1,4.36,0.63,10.99,71.09,0,2.95,8.62,131.51,0.71,3.05,3.12,0,6.15,25.41,0.7,0,0,1.2,0,14.19,2.08,1.01,4.76,0,12.25
108-118,0.8,0,24.46,5.07,5.5,83.78,0,5.06,3.3,20.24,7.24,0,5.57,4.94,1.75,5.49,1.34,6.75,3.32,51.6,10.66,1.57,12.69,210.07,0.47,5.26,3.05,0,1.28,34.43,0,0,0,0.68,0,9.61,1.05,2.98,5.13,0,1.4
120,0,0,32.76,2.88,4.06,43.73,3.36,8.27,3.6,71.19,6.79,0,3.83,14.51,1.28,0,0,2.32,0,72.17,1.72,1.45,16.36,160.93,3.93,13.73,4.54,0,0,34.14,0,0,0,0,0,3.91,0,0,31.67,0,0
