stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,19.88,334.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.23,653.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.5,0,152.4,0,0,12.23,0,0,0,14.11,0,0,0,0,0,711.97,6.86,0,76.28,0,3.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.44,0,75.29,0,4.44,19.85,0,0,0,0,0,0,0,0,0,331.25,136.75,0,184.24,0,0,0,0,20.03,0,17.36,0,0,0,0,0
 14-21,0,0,3.43,7.43,13.92,0,0.81,0,1.23,2.47,0,0,0,0,22.2,9.9,19.44,421.73,5.98,0.92,0,0,0,26.83,0,95.79,203.09,49.57,0,0.85,0,0
 24-34,0,0,0.8,0,2.93,0,0,0,0,0,0,0,0,0,3.18,1.57,9.96,15.53,97.6,0,0,0,0,0,0,8.3,8.57,7,0,4.66,0,3.28
 36-46,0,0,0,0,0,0,1.21,1.06,1.42,0,0,0,1.29,0,15.65,0,20.75,0,17.43,0,0,1.07,0.81,0,0,0,0,0,0,0,0,107.27
 48-58,0,0,0,0,0,0,0.7,0,1.69,0,0,5.61,3.99,0,9.23,0,9.59,0,2.55,0,0,0,0,0,0,0,0,1.16,0,0,0,98.84
 60-70,0,0,0,0,0,0,0,0.68,5.11,1.64,0,28.97,0,0,4.74,0.6,13.82,0,4.53,0,0,0,0,0,0,0,0,1.04,0,0,0,102.82
 72-82,0,0,4.97,0,0.55,0,1.24,1.29,10.85,6.14,0,12.74,9.33,1.95,17.71,0,28.07,0,6.91,0,0,0,0,0,0,0,0,3.98,0,0,1.27,45.47
 84-94,0,0,2.98,0,0,0,11.87,1.22,23.99,11.78,0,22.69,0,0,18.56,2.56,17.77,0,3.7,0,0,1.03,0,0,0,0,0,1.07,0,0,0,32.04
 96-106,0,0,2.08,0,0,7.44,6.62,1.74,5.29,13.54,0,26.84,0,0,15.56,0.86,23.83,0,8.3,0,0,0,0,0,0,0,0,1.13,0.8,0,0,40.78
108-118,0,0,3.99,0,2.66,0,4.15,2.98,5.04,20.74,0,27.85,0,0,28.56,0,20.31,0,5.72,0,1.95,4.57,0,0,0,0,0,1.31,0,0,1.12,55.83
120,0,0,9.01,0,3.48,0,0,1.88,29.32,49.77,0,19.83,0,0,8.33,3.21,31.66,0,24.87,0,0,0,0,0,0,0,0,0,0,0,0,16.87
