stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,30.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.87,0,0,0,0,0,0,0,0,0
  5-6,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.96,0,0,0,7.48,0,0,0,3.49,0,0,0,0,0,0,0
 14-21,0,0,0,12.18,2.02,0,12.12,0,0,4.51,0,17.74,0,0.85,3.43,0,0.93,0,0.94,1.9,0,0,0.94,178.05,3.85,7.26,16.34,0,0,13.11,0,5.11,0,69.55,0,0,0.85,0,0
 24-34,0,4.38,4.7,3.92,0,0,33.93,2.44,0.64,15.02,0,3.11,1.9,0,9.47,0,0.75,2.19,0.8,5.88,2.05,0,8.73,854.44,0.67,105.3,12.41,0,0,9.15,0,4.79,0.61,114.03,0,0,11.2,0,0
 36-46,0,0.73,0,14.29,0,0,27.28,2.03,0,20.27,0,6.63,0.93,0,2.11,0,2.94,0,0,15.36,0.77,0.68,1.35,1268.72,0,88.03,14.52,0,0,16.86,0.78,2.6,0,217.92,0,0,0.62,0,0
 48-58,0,0,0,2.11,0,0,88.94,1.55,0,48.09,0.64,189.26,0.4,3.94,0,0,3.64,3.66,6.43,12.62,3.49,1.17,0.85,1188.55,0,47.38,4.79,0,0,7.16,0,0.62,0,330.81,0,0,0.41,0,0
 60-70,0,0.86,0,13.24,1.65,0,134.8,0,0,87.88,0.85,137.4,0,3.25,5.47,0.58,1.59,0.61,0,37.44,2.4,0,0.74,1650.25,0,39.53,5.8,0,0,13.4,0,1.82,0,414.27,4.27,0,0,0,0
 72-82,0,1.97,0,25.92,4.21,0,172.8,8.2,1.49,108.23,1.16,19.79,0,4.71,0.63,0.78,7.94,12.39,3.9,102.66,1.36,0,2.55,1877.12,0,54.2,21.19,0,0.71,5.55,0,2.11,0,411.41,14.91,0,7.07,2.8,21.87
 84-94,0,0.94,1.04,25.63,0.66,0,192.09,2.4,0,94.44,0.69,50.08,2,16.17,1.16,0,8.06,0.82,0,91.63,5.61,3.84,3.54,1256.99,0,94.45,13.38,0,0,33.24,0,0,0,226.02,20.38,0,1.19,2.86,0
 96-106,0,2.23,0,69.11,25.29,1.75,129.87,1.66,1.01,94.62,5.59,1.32,0,4.19,0.57,0.95,10.99,3.56,0,109.23,3.54,4.99,0.56,1153.58,1.15,145.3,19.29,0,0,49.11,0,3.53,0,135.43,29.28,2.5,1.1,0,0
108-118,0,1.77,0,53.89,0,0,128.22,4.01,1.21,91.58,9.91,0,1.23,2.55,4.25,1.01,12.35,3.6,0,129.93,1.04,3.95,3.74,2103.64,0,89.79,36.8,0,0,29.46,0,1.48,0,123.69,43.57,2.46,1.45,2.06,0
120,0,0,3.17,53.57,0,0,143.68,0,0,53.98,3.21,0,0,20.99,9.22,3.8,10.16,7.99,0,104.42,0,4.06,13.96,2075.22,0,41.27,45.53,0,0,27.94,0,0,0,140.62,10.13,0,1.84,0,0
