stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,10.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.43,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.94,0.85,3.78,0,0,0,0,0,0,0,0,0,1.06,0,0,0,13.34,0,0,0,0,2.18,0.82,1.83,4.46,0,2.02,0,0
 24-34,0,0.84,0,1.33,0,7.6,0,1.9,0,0.67,0,0,0,0.74,0,9.67,0,0,0.63,75.67,0,0.95,0,3.48,0,0,0.74,12,0,1.68,0,0
 36-46,0,0,0,0,0,5.35,0,1.38,0,0,0,0,0,0,1.33,3.83,0,0,0.59,48.26,0.84,0,1.05,0.74,0,0,0,8.55,0,1.01,0.78,0
 48-58,0,0,0,0,0,21.31,0.47,5,0,0,0,0,0,0,0,5.09,0,0.79,1.18,40.46,0,1.22,0,2.51,0,0,0,6.51,0,0,0,0.71
 60-70,0,0,0,0,0,20.12,0,0,3.08,0,0,0,0,0,0,2.67,0,0,2.11,64.1,0,0,3.17,3.02,0,0,0,1.87,0,1.64,0,0
 72-82,0,0.97,0,3.82,0,50.15,0.77,5.92,1.66,0,3.56,0,0,0,0,12.33,0.57,0,1.21,107.57,0,0,2.61,3.06,0,0,0,2.95,0.53,0,0,0
 84-94,0,0,0,0,0,22.75,0,0.73,0.71,0,1.09,0,0,0,0,5.54,0,0.93,0.77,25.25,0,0,0.59,4.8,0,0,0,0,0,1.81,0,0
 96-106,0,0,0,0,0,14.66,1.06,6.75,0,0,1.57,0.61,0,0,0,12.96,0,0,2.96,71.75,0,0,0.61,2.17,0,0.87,0,2.88,0,1.52,0,0
108-118,0,0.62,0,0,0,13.06,0,1.14,0,0,0,0,0.74,0,0,3.28,0,0,0,16.22,0,1.5,0,0.58,0,0,0,0,0,0,0.54,0
120,0,0,0,14.01,0,9.71,0,5.27,0,0,0,0,0,0,0,0,0,0,0,5.66,0,14.86,0,0,0,0,0,0,4.27,0,0,0
