stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,slow_muscle,spinal_cord,vasculature
  3-4,9.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,14.94,0,0,0,0,0,0,0,0,0,0,0,80.79,0,0,0,0,0,0
 14-21,0,0,0,41.62,0,1.06,0.81,0,0,0,0,0,0,0,1.86,0,0,0,0,0,0
 24-34,0,0,0,25.47,0,1.01,9.64,0,0,0.65,0,0.61,0.62,0,5.15,0,0,0,0,0,0
 36-46,0,0,0,23.9,0,0,1.25,0,0,0,0,0,0.56,1.7,2.17,0,0,0,0,0,0
 48-58,0,0,0,9.43,0,2.06,1.35,0,0,0,0,3.28,1.32,0,7.61,1.37,0,0,0,1.12,0
 60-70,0,0,0,8.97,0,4.25,0,0,0,0,0,0,0,2.96,5.13,0,0,14.96,0,0,0
 72-82,0,0,0,2.48,0,0,0,2.73,0,0,0,1.09,0,0.61,9.55,0.76,0,16.45,0,0,1.1
 84-94,0,0,0,14.02,0,0,5.27,0.61,0,0,0,0,0,1.56,2.36,0,0,57.73,1.3,0,0
 96-106,0,0.81,0,12.13,0,0.62,3.06,0,0,0,3.09,1.33,0.71,1.46,6.74,1.63,1.46,155.82,0,0,0
108-118,0,0,0,22.07,0.43,11.52,8.8,2.92,0.66,0,0,5.1,5.32,0,10.67,0,0,146.16,0.94,0,0
120,0,0,0,23.15,0,0,12.95,0,0,0,0,11.35,0,0,7.24,0,0,130.66,0,0,0
