stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,31.06,152.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.84,75.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.01,0,0,0,8.88,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0
 24-34,0,0,0.74,6.02,0,5.47,21.17,0,0,1.96,0,0,0.62,0,0,0,0.65,1.49,0,0,6.75,29.45,0,0,0,0,0,9.8,0,21.21,1.12,7.26,0,0,0,0,0
 36-46,0,0,0,16.23,0,3.07,106.94,0,0,2.08,0,0,0.81,0,0,0,0,4.77,0,0,6.98,46.55,0.56,1.63,0,0,0,2.99,0,78.9,0.6,19.57,0,0,0,0,0
 48-58,0,0,2.14,31.94,0,42.37,172.54,0,0,3.77,0,0.78,0,0,0,0,0,16.77,0,0.41,23.53,105.08,0,2.07,5.03,0,0,4.36,0,69.22,0,30.4,0,0,0.52,0,4.15
 60-70,0,0,11.64,19.03,0,43.13,156.77,1.1,0.73,9.06,0,0,0,0,0,0,0,6.66,0,0,27.08,69.41,0,0,0,0,0,7.26,0,51.76,0,19.68,0,0,0,0,14.43
 72-82,0,0,2.08,87.15,0,58.33,152.49,0,0,7.39,0,0,0,0,0,2.78,0.96,18.94,0.55,0,13.74,65.27,0,12.13,0,4.01,0,6.9,0,32.87,0,5.33,0,1.44,1.79,0,0
 84-94,0,0,12.15,68.24,0,52.97,259.38,0,2.93,3.28,1.12,0,0,0,5.39,0,0.68,22.18,2.46,0,15.99,63.89,0,2.35,4.81,0,0,15.08,3.46,64.02,0,29.19,0.62,0,1.62,0,0
 96-106,0,0,8.99,96.77,0,67.05,434.96,2.29,1.5,19.01,0.63,0,7.94,0.73,0,0,4.05,21.33,1.74,0,25.94,140.43,0,0,0,0,1.37,21.55,0,66.79,0,12.08,0,1.27,1.01,0.76,0
108-118,0,0,9.57,64.47,1.8,70.08,318.85,0.48,0,15.24,0.61,0,0,0,0.71,0.55,4.85,34.11,0,0,46.36,119.33,0,1.45,2.02,0,0,15.25,0,30.81,0,2.58,0,1.19,0,1.09,4.97
120,0,0,1.83,74.08,0,26.05,213.14,0,0,19.2,0,0,1.11,0,2.62,0,8.05,18.04,9.06,0,18.44,53.55,0,26.58,0,0,0,2.54,0,7.75,0,0,0,0,0,0,0
