stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,immune,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,periderm,pronephros,spinal.cord,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61,0,0,0,0,0,0
 14-21,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.87,0,0,0,2.54,0,0
 24-34,1.26,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,3.38,0,0,0,0,0,0
 36-46,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,1.86,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.41,0,0,0.41,0,6.23,0,0,0,0,0.61,0,0,0,0,0,0
 60-70,0,0,0,0,0,3.2,0,0,2.86,0,11.73,0,1.65,0,0,0,0,0,0,0,0,0
 72-82,0.61,0.56,0,2.46,0,1.4,0,0,1.51,0,22.73,0,0.49,0,0,15.6,0,1.16,0,0,0,0
 84-94,6.49,0,0,0,0,0,0,0,0,0,99.64,0,0,0,0,5.98,1.44,0,0,0,0,0
 96-106,8.48,0.71,0.94,0,0,1.42,0,1.66,1.38,4.49,279.34,9.7,7.12,0,2.16,28.56,0,2.83,1.05,4.92,0.83,0
108-118,1.21,1.42,0.49,0,0.72,10.12,0,3.76,3.63,0,469.59,0,2.64,1.35,1.05,31.72,0,1.12,0,0,1.82,2.33
120,4.32,0,0,0,0,17.86,1.61,18.73,0,0,384.75,0,7.34,0,0,14.08,0,10.71,0,2.98,0,0
